Date,Low,Open,Volume,High,Close,Adjusted Close
02-01-1970,30.125,0.0,10300,31.0,30.625,0.9342675805091858
05-01-1970,30.25,30.625,17600,31.0,31.0,0.9457071423530579
06-01-1970,30.75,31.0,14000,31.25,30.75,0.9380807876586914
07-01-1970,30.5,30.75,7700,30.875,30.875,0.941893458366394
08-01-1970,30.5,30.75,16300,30.75,30.5,0.9304538369178772
09-01-1970,30.375,30.5,16800,30.875,30.75,0.9380807876586914
12-01-1970,30.25,30.625,11700,30.625,30.5,0.9304538369178772
13-01-1970,29.625,30.5,15900,30.5,29.625,0.903760552406311
14-01-1970,29.125,29.625,37800,29.75,29.625,0.903760552406311
15-01-1970,29.25,29.625,23500,29.625,29.5,0.8999471068382263
16-01-1970,29.375,29.5,23300,30.0,29.375,0.8961337804794312
19-01-1970,29.5,29.5,12600,30.125,29.875,0.9113874435424805
20-01-1970,29.25,29.875,19800,29.875,29.25,0.8923208713531494
21-01-1970,29.25,29.25,22400,30.125,29.625,0.903760552406311
22-01-1970,29.75,29.75,25300,30.625,30.5,0.9304538369178772
23-01-1970,29.25,30.5,11900,30.5,29.25,0.8923208713531494
26-01-1970,29.125,29.25,12000,29.625,29.125,0.8885078430175781
27-01-1970,28.625,29.0,12700,29.0,28.875,0.8808800578117371
28-01-1970,28.125,28.875,26700,28.875,28.375,0.8656272888183594
29-01-1970,27.625,28.375,26100,28.375,28.125,0.8580003976821899
30-01-1970,27.75,28.125,15200,28.25,27.75,0.8465604782104492
02-02-1970,28.125,28.125,27200,28.875,28.25,0.8618131875991821
03-02-1970,27.625,28.25,23600,28.5,28.375,0.8656272888183594
04-02-1970,27.875,28.375,21300,28.625,28.25,0.8744491934776306
05-02-1970,27.875,28.25,13100,28.25,28.0,0.8667106628417969
06-02-1970,28.125,28.125,15200,28.75,28.25,0.8744491934776306
09-02-1970,28.125,28.25,15300,29.0,28.125,0.8705798983573914
10-02-1970,27.5,28.125,36400,28.125,27.75,0.8589716553688049
11-02-1970,27.25,27.75,24400,27.875,27.875,0.8628408312797546
12-02-1970,27.625,27.875,17500,27.875,27.875,0.8628408312797546
13-02-1970,27.625,27.875,27700,28.0,28.0,0.8667106628417969
16-02-1970,27.25,28.0,22700,28.375,27.25,0.8434948921203613
17-02-1970,27.125,27.25,22600,27.875,27.375,0.8473647236824036
18-02-1970,27.5,27.5,16800,28.25,28.25,0.8744491934776306
19-02-1970,28.0,28.25,17900,28.5,28.0,0.8667106628417969
20-02-1970,27.75,28.0,13000,28.25,28.25,0.8744491934776306
24-02-1970,28.0,28.25,18000,28.625,28.0,0.8667106628417969
25-02-1970,28.375,28.375,21700,30.125,29.875,0.9247492551803589
26-02-1970,29.375,29.875,28200,30.0,29.75,0.9208796620368958
27-02-1970,30.0,30.0,22100,30.5,30.125,0.9324874877929688
02-03-1970,30.125,30.125,26600,31.5,31.375,0.9711801409721375
03-03-1970,30.875,31.375,18300,31.625,31.125,0.9634415507316589
04-03-1970,31.0,31.125,23800,31.75,31.375,0.9711801409721375
05-03-1970,30.875,31.375,45700,31.625,31.0,0.9595720767974854
