Date,Low,Open,Volume,High,Close,Adjusted Close
22-02-1994,7.25,7.375,20800,7.375,7.25,4.511819362640381
23-02-1994,6.75,7.125,31600,7.125,6.9375,4.317342281341553
24-02-1994,6.8125,6.9375,32000,6.9375,6.8125,4.239555358886719
25-02-1994,6.25,6.6875,49800,6.6875,6.4375,4.006186008453369
28-02-1994,6.4375,6.5,170400,6.75,6.625,4.122870445251465
01-03-1994,6.5,6.625,41600,6.625,6.5625,4.083974838256836
02-03-1994,6.4375,6.4375,67000,6.5625,6.5625,4.083974838256836
03-03-1994,6.5,6.625,27800,6.625,6.5,4.045078754425049
04-03-1994,6.4375,6.5,358200,6.75,6.75,4.2006611824035645
07-03-1994,6.4375,6.4375,690800,6.8125,6.75,4.2006611824035645
08-03-1994,6.75,6.75,515200,6.8125,6.8125,4.239555358886719
09-03-1994,6.8125,6.8125,540400,6.875,6.875,4.278447151184082
10-03-1994,6.8125,6.875,1832200,6.875,6.875,4.278447151184082
11-03-1994,6.9375,6.9375,1895400,7.1875,7.1875,4.47292423248291
14-03-1994,7.1875,7.1875,1413800,7.625,7.5625,4.706292152404785
15-03-1994,7.4375,7.5625,1665200,7.6875,7.4375,4.628501892089844
16-03-1994,7.3125,7.4375,717000,7.4375,7.4375,4.628501892089844
17-03-1994,7.4375,7.4375,971200,7.6875,7.5625,4.722164630889893
18-03-1994,7.625,7.625,1178000,7.6875,7.625,4.761194705963135
21-03-1994,7.625,7.625,659400,7.6875,7.6875,4.800217151641846
22-03-1994,7.6875,7.6875,374000,7.875,7.8125,4.878270626068115
23-03-1994,7.75,7.8125,430200,7.9375,7.875,4.91729736328125
24-03-1994,7.75,7.8125,747000,7.875,7.75,4.839247226715088
25-03-1994,7.625,7.8125,370000,7.8125,7.6875,4.800217151641846
28-03-1994,7.625,7.6875,1116200,7.6875,7.625,4.761194705963135
29-03-1994,7.5,7.625,595800,7.6875,7.5,4.683140277862549
30-03-1994,7.3125,7.5,653000,7.5,7.375,4.605090618133545
31-03-1994,7.25,7.375,448400,7.4375,7.375,4.605090618133545
04-04-1994,7.125,7.125,386600,7.375,7.375,4.605090618133545
05-04-1994,7.3125,7.3125,361600,7.6875,7.625,4.761194705963135
06-04-1994,7.375,7.625,551400,7.6875,7.375,4.605090618133545
07-04-1994,7.375,7.5,338400,7.5,7.4375,4.644112586975098
08-04-1994,7.3125,7.3125,166000,7.5,7.5,4.683140277862549
11-04-1994,7.25,7.5,424800,7.625,7.25,4.527037620544434
12-04-1994,7.125,7.125,602800,7.25,7.125,4.448982238769531
13-04-1994,7.0,7.125,504600,7.3125,7.0,4.370931148529053
14-04-1994,6.9375,7.0625,378200,7.0625,6.9375,4.33190393447876
15-04-1994,6.875,6.875,197600,7.0625,6.875,4.292877674102783
18-04-1994,7.0,7.0,184800,7.25,7.25,4.527037620544434
