Date,Low,Open,Volume,High,Close,Adjusted Close
27-02-1998,17.375,17.375,50000,18.0,17.375,14.162835121154785
02-03-1998,17.0,17.25,75000,17.25,17.25,14.060941696166992
03-03-1998,16.75,17.125,35000,17.125,17.125,13.959054946899414
04-03-1998,15.5,15.75,60000,15.75,15.75,12.83825397491455
05-03-1998,16.125,16.125,400,16.125,16.125,13.143922805786133
06-03-1998,16.125,16.125,3600,16.375,16.125,13.143922805786133
09-03-1998,15.875,16.125,3200,16.5,15.875,12.940144538879395
10-03-1998,15.875,15.875,56800,16.875,16.25,13.245819091796875
11-03-1998,16.125,16.25,10400,16.5,16.25,13.245819091796875
12-03-1998,16.125,16.25,3800,16.375,16.375,13.34770679473877
13-03-1998,16.5,16.5,1000,16.5,16.5,13.449599266052246
16-03-1998,16.125,16.5,7700,16.5,16.125,13.143922805786133
17-03-1998,15.75,16.125,28000,16.125,15.875,12.940144538879395
18-03-1998,15.75,15.875,45700,16.125,16.125,13.143922805786133
19-03-1998,16.0,16.125,383600,17.375,17.125,13.959054946899414
20-03-1998,17.25,17.25,275600,17.75,17.75,14.468507766723633
23-03-1998,17.375,17.75,398600,19.0,18.875,15.38552474975586
24-03-1998,18.875,18.875,261800,19.875,19.75,16.098756790161133
25-03-1998,19.5,19.75,135600,20.125,19.875,16.200653076171875
26-03-1998,19.25,19.875,26300,19.875,19.625,15.996870994567871
27-03-1998,18.375,19.625,62200,19.75,19.25,15.691194534301758
30-03-1998,19.25,19.25,49500,19.875,19.875,16.200653076171875
31-03-1998,19.875,19.875,79000,20.25,20.125,16.404434204101562
01-04-1998,20.0,20.125,150100,20.625,20.5,16.710107803344727
02-04-1998,21.75,21.75,140500,23.375,23.25,18.95170783996582
03-04-1998,21.75,23.25,458700,26.125,24.75,20.174392700195312
06-04-1998,23.0,24.75,105300,26.0,24.0,19.563053131103516
07-04-1998,22.125,24.0,152800,24.0,22.125,18.034690856933594
08-04-1998,21.0,22.125,45100,23.0,22.5,18.340364456176758
09-04-1998,22.25,22.5,151400,23.0,23.0,18.747922897338867
13-04-1998,22.375,23.0,85900,23.25,22.625,18.442258834838867
14-04-1998,22.5,22.625,322900,23.0,22.75,18.54414176940918
15-04-1998,21.5,22.75,23100,22.875,21.75,17.729015350341797
16-04-1998,20.875,21.75,55400,21.75,21.25,17.321456909179688
17-04-1998,21.0,21.25,15100,21.625,21.625,17.627119064331055
20-04-1998,21.25,21.625,92900,22.125,22.125,18.034690856933594
