Date,Low,Open,Volume,High,Close,Adjusted Close
21-02-1973,4.625,4.625,99200,4.625,4.625,1.6405994892120361
22-02-1973,4.640625,4.640625,47200,4.640625,4.640625,1.6461423635482788
23-02-1973,4.625,4.625,133600,4.625,4.625,1.6405994892120361
26-02-1973,4.625,4.625,24000,4.625,4.625,1.6405994892120361
27-02-1973,4.625,4.625,41600,4.625,4.625,1.6405994892120361
28-02-1973,4.625,4.625,66400,4.625,4.625,1.6405994892120361
01-03-1973,4.65625,4.65625,93600,4.65625,4.65625,1.6516857147216797
02-03-1973,4.671875,4.671875,26400,4.671875,4.671875,1.657227635383606
05-03-1973,4.734375,4.734375,68000,4.734375,4.734375,1.6793984174728394
06-03-1973,4.875,4.875,76800,4.875,4.875,1.729280948638916
07-03-1973,4.875,4.875,51200,4.875,4.875,1.729280948638916
08-03-1973,4.90625,4.90625,84800,4.90625,4.90625,1.7403666973114014
09-03-1973,4.90625,4.90625,78400,4.90625,4.90625,1.7403666973114014
12-03-1973,4.890625,4.890625,73600,4.890625,4.890625,1.7348238229751587
13-03-1973,4.90625,4.90625,47200,4.90625,4.90625,1.7403666973114014
14-03-1973,4.921875,4.921875,50400,4.921875,4.921875,1.7459098100662231
15-03-1973,4.90625,4.90625,70400,4.90625,4.90625,1.7403666973114014
16-03-1973,4.890625,4.890625,44800,4.890625,4.890625,1.7348238229751587
19-03-1973,4.84375,4.84375,28000,4.84375,4.84375,1.7181965112686157
20-03-1973,4.75,4.75,68800,4.75,4.75,1.6849404573440552
21-03-1973,4.6875,4.6875,94400,4.6875,4.6875,1.66277015209198
22-03-1973,4.609375,4.609375,55200,4.609375,4.609375,1.6350581645965576
23-03-1973,4.609375,4.609375,117600,4.609375,4.609375,1.6350581645965576
26-03-1973,4.59375,4.59375,9600,4.59375,4.59375,1.6295151710510254
27-03-1973,4.59375,4.59375,15200,4.59375,4.59375,1.6295151710510254
28-03-1973,4.65625,4.65625,141600,4.65625,4.65625,1.6516857147216797
29-03-1973,4.71875,4.71875,120000,4.71875,4.71875,1.673854947090149
30-03-1973,4.71875,4.71875,85600,4.71875,4.71875,1.673854947090149
02-04-1973,4.6875,4.6875,52800,4.6875,4.6875,1.66277015209198
03-04-1973,4.65625,4.65625,23200,4.65625,4.65625,1.6516857147216797
04-04-1973,4.625,4.625,78400,4.625,4.625,1.6405994892120361
05-04-1973,4.609375,4.609375,78400,4.609375,4.609375,1.6350581645965576
06-04-1973,4.609375,4.609375,36000,4.609375,4.609375,1.6350581645965576
09-04-1973,4.609375,4.609375,28000,4.609375,4.609375,1.6350581645965576
10-04-1973,4.71875,4.71875,88800,4.71875,4.71875,1.673854947090149
11-04-1973,4.75,4.75,144000,4.75,4.75,1.6849404573440552
12-04-1973,4.8125,4.8125,140800,4.8125,4.8125,1.7071113586425781
13-04-1973,4.8125,4.8125,13600,4.8125,4.8125,1.7071113586425781
16-04-1973,4.8125,4.8125,40000,4.8125,4.8125,1.7071113586425781
17-04-1973,4.6875,4.6875,92800,4.6875,4.6875,1.66277015209198
18-04-1973,4.671875,4.671875,25600,4.671875,4.671875,1.657227635383606
19-04-1973,4.6875,4.6875,39200,4.6875,4.6875,1.66277015209198
23-04-1973,4.625,4.625,48000,4.625,4.625,1.6405994892120361
24-04-1973,4.59375,4.59375,134400,4.59375,4.59375,1.6295151710510254
25-04-1973,4.5625,4.5625,59200,4.5625,4.5625,1.6184298992156982
26-04-1973,4.5625,4.5625,33600,4.5625,4.5625,1.6184298992156982
27-04-1973,4.53125,4.53125,36800,4.53125,4.53125,1.6073455810546875
30-04-1973,4.46875,4.46875,91200,4.46875,4.46875,1.5851749181747437
01-05-1973,4.4375,4.4375,295200,4.4375,4.4375,1.5740891695022583
02-05-1973,4.453125,4.453125,61600,4.453125,4.453125,1.5796319246292114
03-05-1973,4.4375,0.0,56000,4.5,4.4375,1.5740891695022583
04-05-1973,4.484375,0.0,43200,4.546875,4.484375,1.5907163619995117
07-05-1973,4.5,0.0,42400,4.5625,4.5,1.5962600708007812
08-05-1973,4.515625,0.0,28800,4.578125,4.515625,1.6018027067184448
09-05-1973,4.640625,0.0,58400,4.703125,4.640625,1.6461423635482788
10-05-1973,4.75,0.0,70400,4.8125,4.75,1.6849404573440552
11-05-1973,4.765625,0.0,26400,4.828125,4.765625,1.6904840469360352
14-05-1973,4.59375,0.0,151200,4.65625,4.59375,1.6295151710510254
15-05-1973,4.578125,0.0,163200,4.640625,4.578125,1.6239738464355469
16-05-1973,4.671875,0.0,75200,4.734375,4.671875,1.657227635383606
17-05-1973,4.671875,0.0,27200,4.734375,4.671875,1.657227635383606
18-05-1973,4.625,0.0,59200,4.6875,4.625,1.6405994892120361
21-05-1973,4.609375,0.0,60800,4.671875,4.609375,1.6350581645965576
22-05-1973,4.65625,0.0,95200,4.71875,4.65625,1.6516857147216797
23-05-1973,4.671875,0.0,34400,4.734375,4.671875,1.657227635383606
24-05-1973,4.78125,0.0,60000,4.84375,4.78125,1.6960248947143555
25-05-1973,4.84375,0.0,111200,4.90625,4.84375,1.7181965112686157
29-05-1973,4.875,0.0,144800,4.9375,4.875,1.729280948638916
30-05-1973,4.796875,0.0,90400,4.859375,4.796875,1.7015680074691772
31-05-1973,4.796875,0.0,36000,4.859375,4.796875,1.7015680074691772
01-06-1973,4.796875,0.0,47200,4.859375,4.796875,1.7015680074691772
04-06-1973,4.578125,0.0,119200,4.640625,4.578125,1.6239738464355469
05-06-1973,4.5,0.0,101600,4.5625,4.5,1.5962600708007812
06-06-1973,4.4375,0.0,32000,4.5,4.4375,1.5740891695022583
07-06-1973,4.46875,0.0,31200,4.53125,4.46875,1.5851749181747437
08-06-1973,4.484375,0.0,98400,4.546875,4.484375,1.5907163619995117
11-06-1973,4.5,0.0,58400,4.5625,4.5,1.5962600708007812
12-06-1973,4.546875,0.0,148800,4.609375,4.546875,1.6128875017166138
13-06-1973,4.5625,0.0,40800,4.625,4.5625,1.6184298992156982
14-06-1973,4.59375,0.0,53600,4.65625,4.59375,1.6295151710510254
15-06-1973,4.546875,0.0,43200,4.609375,4.546875,1.6128875017166138
18-06-1973,4.46875,0.0,31200,4.53125,4.46875,1.5851749181747437
19-06-1973,4.421875,0.0,83200,4.484375,4.421875,1.5685466527938843
20-06-1973,4.390625,0.0,30400,4.453125,4.390625,1.5574617385864258
21-06-1973,4.375,0.0,78400,4.4375,4.375,1.5519192218780518
22-06-1973,4.375,0.0,58400,4.4375,4.375,1.5519192218780518
25-06-1973,4.296875,0.0,46400,4.359375,4.296875,1.5242061614990234
26-06-1973,4.328125,0.0,44000,4.390625,4.328125,1.5352909564971924
27-06-1973,4.3125,0.0,90400,4.375,4.3125,1.5297482013702393
28-06-1973,4.265625,0.0,57600,4.328125,4.265625,1.5131216049194336
29-06-1973,4.28125,0.0,160000,4.34375,4.28125,1.5186644792556763
02-07-1973,4.3125,0.0,24800,4.375,4.3125,1.5297482013702393
03-07-1973,4.296875,0.0,44800,4.359375,4.296875,1.5242061614990234
05-07-1973,4.28125,0.0,24800,4.34375,4.28125,1.5186644792556763
06-07-1973,4.28125,0.0,37600,4.34375,4.28125,1.5186644792556763
09-07-1973,4.3125,0.0,42400,4.375,4.3125,1.5297482013702393
10-07-1973,4.34375,0.0,32800,4.40625,4.34375,1.540834665298462
11-07-1973,4.359375,0.0,12000,4.421875,4.359375,1.546377420425415
12-07-1973,4.34375,0.0,24000,4.40625,4.34375,1.540834665298462
13-07-1973,4.375,0.0,59200,4.4375,4.375,1.5519192218780518
16-07-1973,4.40625,0.0,16800,4.46875,4.40625,1.563004493713379
17-07-1973,4.4375,0.0,110400,4.5,4.4375,1.5740891695022583
18-07-1973,4.5625,0.0,128800,4.625,4.5625,1.6184298992156982
19-07-1973,4.859375,0.0,157600,4.921875,4.859375,1.7237385511398315
20-07-1973,4.984375,0.0,341600,5.046875,4.984375,1.7680789232254028
23-07-1973,4.9375,0.0,110400,5.0,4.9375,1.7514516115188599
24-07-1973,4.90625,0.0,100800,4.96875,4.90625,1.7403666973114014
25-07-1973,4.90625,0.0,46400,4.96875,4.90625,1.7403666973114014
26-07-1973,4.90625,0.0,82400,4.96875,4.90625,1.7403666973114014
