Date,Low,Open,Volume,High,Close,Adjusted Close
18-08-1998,12.875,12.875,5783000,13.125,13.0,9.587400436401367
19-08-1998,13.0,13.0,388700,13.25,13.0,9.587400436401367
20-08-1998,13.0,13.125,348500,13.25,13.0,9.587400436401367
21-08-1998,13.0,13.0,804000,13.0,13.0,9.587400436401367
24-08-1998,13.0,13.0,119700,13.0,13.0,9.587400436401367
25-08-1998,12.875,13.0,294100,13.0,13.0,9.587400436401367
26-08-1998,12.125,13.0,383800,13.0,12.25,9.034278869628906
27-08-1998,10.75,12.25,435300,12.375,11.125,8.204605102539062
28-08-1998,10.0,11.375,192400,11.375,10.0,7.374924659729004
31-08-1998,7.625,10.0,150800,10.125,8.125,5.992126941680908
01-09-1998,6.6875,8.25,440700,9.0,8.5,6.2686848640441895
02-09-1998,8.5,8.5,509200,10.5,9.5625,7.052269458770752
03-09-1998,8.5,9.75,165900,9.75,8.75,6.453058242797852
04-09-1998,8.125,9.0,155700,9.0,8.375,6.176499843597412
08-09-1998,8.75,9.0,149300,10.0,9.875,7.282736301422119
09-09-1998,9.5,9.875,116900,10.0,9.5,7.0061798095703125
10-09-1998,9.0,9.375,80700,9.375,9.25,6.821804046630859
11-09-1998,9.0,9.3125,84800,9.375,9.0,6.637433052062988
14-09-1998,9.0,9.25,90800,9.625,9.0,6.637433052062988
15-09-1998,8.625,9.125,200400,9.25,8.75,6.453058242797852
16-09-1998,7.75,8.75,221300,8.75,7.875,5.80775260925293
17-09-1998,7.875,7.875,87300,8.625,8.28125,6.107358455657959
18-09-1998,7.75,8.375,147300,8.6875,8.25,6.084313869476318
21-09-1998,6.875,7.875,472900,8.0,7.0,5.162446975708008
22-09-1998,7.0625,7.125,728300,8.125,8.0,5.899937629699707
23-09-1998,8.0,8.25,382500,8.625,8.375,6.176499843597412
24-09-1998,8.5,8.5,280800,9.375,9.0625,6.683525085449219
25-09-1998,8.75,8.75,44400,9.4375,9.375,6.9139909744262695
28-09-1998,9.375,9.5,26500,9.875,9.375,6.9139909744262695
29-09-1998,9.25,9.5,88300,9.75,9.53125,7.029224872589111
30-09-1998,9.375,9.5,172300,10.0625,9.625,7.098365306854248
01-10-1998,8.875,9.625,85500,9.625,8.875,6.545245170593262
02-10-1998,8.875,8.875,58700,9.25,8.875,6.545245170593262
05-10-1998,8.0,8.75,63000,8.875,8.0,5.899937629699707
06-10-1998,8.0,9.0,129500,9.125,8.375,6.176499843597412
07-10-1998,7.8125,8.375,340400,8.625,7.8125,5.761659622192383
08-10-1998,6.0,7.75,346800,7.8125,6.3125,4.655421733856201
09-10-1998,6.125,7.0,271500,7.125,6.25,4.6093268394470215
12-10-1998,6.0,6.5,660400,6.5,6.25,4.6093268394470215
13-10-1998,6.25,6.25,228600,7.5,7.0,5.162446975708008
14-10-1998,6.875,6.875,46400,7.625,7.625,5.623378753662109
15-10-1998,7.375,7.5,44100,7.625,7.5625,5.577287673950195
16-10-1998,7.5,7.8125,421600,8.375,7.875,5.80775260925293
19-10-1998,8.0,8.125,50600,8.5625,8.5625,6.314778804779053
20-10-1998,8.5,8.625,354800,9.5,9.375,6.9139909744262695
21-10-1998,9.4375,9.4375,156000,10.375,10.0,7.374924659729004
22-10-1998,10.0,10.125,134600,11.5,11.4375,8.43506908416748
23-10-1998,11.375,11.625,411400,13.125,13.0,9.587400436401367
26-10-1998,12.625,13.0,125500,13.0,12.75,9.403029441833496
27-10-1998,12.375,12.875,417500,13.375,12.4375,9.17255973815918
28-10-1998,12.25,12.375,53000,12.75,12.75,9.403029441833496
29-10-1998,11.75,12.625,280000,13.0625,12.0,8.849909782409668
30-10-1998,11.875,12.0,198600,12.875,12.875,9.495214462280273
02-11-1998,12.625,12.9375,105900,13.3125,12.875,9.495214462280273
03-11-1998,12.625,12.8125,24900,12.875,12.75,9.403029441833496
04-11-1998,12.25,12.875,105800,12.875,12.5,9.218653678894043
05-11-1998,12.3125,12.5,81800,13.25,13.25,9.771772384643555
06-11-1998,12.875,13.25,55600,13.3125,13.25,9.771772384643555
09-11-1998,12.75,12.875,84200,13.3125,13.25,9.771772384643555
10-11-1998,12.875,13.25,22600,13.3125,13.0,9.587400436401367
11-11-1998,12.625,12.875,22200,13.125,12.75,9.403029441833496
12-11-1998,12.25,12.75,23700,12.75,12.5,9.218653678894043
13-11-1998,10.5,12.5625,96600,12.5625,11.8125,8.711628913879395
16-11-1998,11.25,11.6875,70500,12.25,11.5,8.481161117553711
17-11-1998,11.125,11.75,188500,12.0,11.75,8.665535926818848
18-11-1998,11.5,11.5,22500,12.0,11.9375,8.803816795349121
19-11-1998,10.75,12.0,41700,12.0,10.875,8.020230293273926
20-11-1998,9.875,11.0,148500,11.0,10.625,7.83585786819458
23-11-1998,10.75,10.75,151200,12.5,11.625,8.573347091674805
24-11-1998,11.1875,11.4375,33400,11.4375,11.3125,8.342883110046387
25-11-1998,11.1875,11.375,66200,12.625,12.0,8.849909782409668
27-11-1998,11.875,11.875,203200,13.25,12.9375,9.54130744934082
30-11-1998,12.875,13.25,265900,13.625,13.4375,9.910055160522461
01-12-1998,12.625,13.25,73100,13.5,13.3125,9.817870140075684
02-12-1998,12.9375,13.125,142400,13.75,13.3125,9.817870140075684
03-12-1998,13.25,13.5,100000,13.625,13.625,10.048334121704102
04-12-1998,13.9375,14.375,377200,16.625,16.375,12.076436996459961
07-12-1998,15.5,16.5,193400,16.75,15.6875,11.569413185119629
08-12-1998,14.875,15.875,140300,15.9375,15.1875,11.200664520263672
09-12-1998,14.75,14.75,412500,19.375,17.625,12.998303413391113
10-12-1998,16.625,17.75,200200,17.875,16.9375,12.491278648376465
11-12-1998,15.125,16.5,227800,16.625,15.9375,11.753785133361816
14-12-1998,15.25,16.0,84400,16.25,15.25,11.246757507324219
15-12-1998,15.0,16.125,276900,16.375,15.96875,11.77683162689209
16-12-1998,15.75,15.9375,226900,17.0,16.875,12.445184707641602
17-12-1998,16.75,17.125,222700,17.25,17.0625,12.583463668823242
18-12-1998,16.875,17.25,47500,17.25,17.0,12.537369728088379
21-12-1998,16.875,17.125,145100,19.0,18.5,13.643608093261719
22-12-1998,17.75,18.8125,652100,18.8125,17.90625,13.205726623535156
23-12-1998,17.75,18.375,340000,18.75,18.5,13.643608093261719
24-12-1998,17.875,18.375,27100,18.75,18.0,13.274866104125977
28-12-1998,17.875,18.1875,139100,20.0,20.0,14.749849319458008
29-12-1998,18.5,20.125,103600,20.875,20.875,15.39515209197998
30-12-1998,20.25,20.625,28700,21.25,20.875,15.39515209197998
31-12-1998,20.875,21.0625,96100,23.5,23.5,17.331071853637695
04-01-1999,20.0,23.0,199200,23.5,21.0625,15.533431053161621
05-01-1999,19.8125,20.5625,116900,20.6875,19.9375,14.703756332397461
06-01-1999,19.875,19.875,160300,22.0,20.75,15.30296802520752
07-01-1999,20.25,21.0,211200,23.25,22.5,16.59358024597168
08-01-1999,22.375,23.25,94600,23.5,22.40625,16.524436950683594
