Date,Low,Open,Volume,High,Close,Adjusted Close
02-01-1970,6.40625,6.40625,73200,6.75,6.75,0.25609228014945984
05-01-1970,6.8125,6.8125,130800,7.03125,7.03125,0.2667628228664398
06-01-1970,6.8125,7.03125,312400,7.15625,6.9375,0.26320621371269226
07-01-1970,6.8125,6.90625,51600,6.90625,6.84375,0.25964903831481934
08-01-1970,6.8125,6.84375,79200,6.9375,6.84375,0.25964903831481934
09-01-1970,6.8125,6.84375,45600,6.90625,6.90625,0.2620203495025635
12-01-1970,6.84375,6.90625,51200,6.90625,6.875,0.2608347237110138
13-01-1970,6.71875,6.875,136800,6.875,6.71875,0.2549067437648773
14-01-1970,6.65625,6.71875,61600,6.78125,6.71875,0.2549067437648773
15-01-1970,6.5625,6.71875,85200,6.71875,6.5625,0.24897871911525726
16-01-1970,6.5,6.5625,158000,6.59375,6.53125,0.2477930188179016
19-01-1970,6.5625,6.5625,56000,6.6875,6.6875,0.25372114777565
20-01-1970,6.625,6.6875,93600,6.84375,6.84375,0.25964903831481934
21-01-1970,6.71875,6.8125,86800,6.8125,6.71875,0.2549067437648773
22-01-1970,6.65625,6.71875,70000,6.71875,6.71875,0.2549067437648773
23-01-1970,6.65625,6.71875,60000,6.78125,6.75,0.25609228014945984
26-01-1970,6.75,6.75,59600,6.8125,6.8125,0.2584637403488159
27-01-1970,6.75,6.8125,74000,6.90625,6.78125,0.2572779357433319
28-01-1970,6.65625,6.78125,53200,6.8125,6.6875,0.25372114777565
29-01-1970,6.625,6.6875,53600,6.8125,6.8125,0.2584637403488159
30-01-1970,6.71875,6.8125,44400,6.8125,6.75,0.25609228014945984
02-02-1970,6.65625,6.75,50800,6.8125,6.75,0.25716862082481384
03-02-1970,6.65625,6.75,33200,6.78125,6.6875,0.25478747487068176
04-02-1970,6.6875,6.6875,35200,6.75,6.75,0.25716862082481384
05-02-1970,6.625,6.71875,56400,6.71875,6.6875,0.25478747487068176
06-02-1970,6.625,6.6875,37600,6.71875,6.71875,0.25597792863845825
09-02-1970,6.65625,6.71875,59200,6.71875,6.71875,0.25597792863845825
10-02-1970,6.65625,6.71875,34800,6.71875,6.71875,0.25597792863845825
