Date,Low,Open,Volume,High,Close,Adjusted Close
04-10-1989,2.4375,2.46875,20636000,2.546875,2.5,1.7905142307281494
05-10-1989,2.5,2.515625,6453600,2.625,2.578125,1.84646737575531
06-10-1989,2.546875,2.59375,2755200,2.625,2.546875,1.8240865468978882
09-10-1989,2.5,2.546875,1084000,2.546875,2.546875,1.8240865468978882
10-10-1989,2.5,2.5625,1493600,2.5625,2.53125,1.8128951787948608
11-10-1989,2.46875,2.5,1260000,2.515625,2.515625,1.8017032146453857
12-10-1989,2.515625,2.515625,602400,2.546875,2.53125,1.8128951787948608
13-10-1989,2.46875,2.53125,3970400,2.53125,2.484375,1.7793225049972534
16-10-1989,2.375,2.375,3924800,2.46875,2.46875,1.7681328058242798
17-10-1989,2.4375,2.4375,1843200,2.5,2.5,1.7905142307281494
18-10-1989,2.484375,2.5,1128000,2.5625,2.546875,1.8240865468978882
19-10-1989,2.53125,2.53125,1040000,2.546875,2.546875,1.8240865468978882
20-10-1989,2.515625,2.53125,237600,2.53125,2.53125,1.8128951787948608
23-10-1989,2.546875,2.546875,87200,2.5625,2.546875,1.8240865468978882
24-10-1989,2.53125,2.546875,689600,2.5625,2.5625,1.8352762460708618
25-10-1989,2.515625,2.546875,608000,2.578125,2.546875,1.8240865468978882
26-10-1989,2.546875,2.546875,228800,2.5625,2.546875,1.8240865468978882
27-10-1989,2.5,2.546875,456000,2.546875,2.515625,1.8017032146453857
30-10-1989,2.5,2.515625,250400,2.515625,2.5,1.7905142307281494
31-10-1989,2.5,2.5,424800,2.515625,2.5,1.7905142307281494
01-11-1989,2.515625,2.515625,715200,2.5625,2.5625,1.8352762460708618
02-11-1989,2.59375,2.59375,130400,2.640625,2.640625,1.891229510307312
03-11-1989,2.625,2.625,1118400,2.75,2.734375,1.9583736658096313
06-11-1989,2.578125,2.71875,264800,2.71875,2.578125,1.84646737575531
07-11-1989,2.5,2.546875,727200,2.6875,2.6875,1.9248017072677612
08-11-1989,2.671875,2.6875,236800,2.71875,2.71875,1.9471842050552368
09-11-1989,2.6875,2.71875,60800,2.71875,2.6875,1.9248017072677612
10-11-1989,2.546875,2.6875,210400,2.6875,2.5625,1.8352762460708618
13-11-1989,2.515625,2.5625,92800,2.5625,2.546875,1.8240865468978882
14-11-1989,2.484375,2.578125,428000,2.578125,2.53125,1.8128951787948608
15-11-1989,2.53125,2.546875,176000,2.578125,2.5625,1.8352762460708618
16-11-1989,2.546875,2.546875,301600,2.59375,2.59375,1.8576586246490479
17-11-1989,2.59375,2.59375,249600,2.640625,2.640625,1.891229510307312
20-11-1989,2.609375,2.65625,43200,2.65625,2.609375,1.8688501119613647
21-11-1989,2.59375,2.59375,108800,2.671875,2.671875,1.9136121273040771
22-11-1989,2.6875,2.6875,255200,2.75,2.75,1.969565749168396
24-11-1989,2.78125,2.78125,572000,2.953125,2.921875,2.092663049697876
27-11-1989,2.859375,2.90625,253600,2.9375,2.875,2.059091567993164
28-11-1989,2.828125,2.875,560000,2.875,2.828125,2.0255191326141357
29-11-1989,2.78125,2.8125,60800,2.8125,2.796875,2.003138542175293
30-11-1989,2.8125,2.8125,712800,2.90625,2.890625,2.0702829360961914
01-12-1989,2.890625,2.890625,356800,2.953125,2.90625,2.081472158432007
04-12-1989,2.875,2.9375,172000,2.984375,2.984375,2.1374270915985107
05-12-1989,2.90625,2.953125,93600,2.984375,2.90625,2.081472158432007
06-12-1989,2.90625,2.90625,668800,3.0,2.984375,2.1374270915985107
07-12-1989,2.921875,2.984375,215200,2.984375,2.953125,2.1150448322296143
08-12-1989,2.921875,2.921875,122400,2.953125,2.953125,2.1150448322296143
11-12-1989,2.9375,2.96875,306400,3.03125,3.0,2.14861798286438
12-12-1989,2.984375,3.015625,1119200,3.03125,3.015625,2.159808397293091
13-12-1989,2.984375,3.0,400000,3.15625,3.15625,2.2605249881744385
14-12-1989,3.109375,3.125,391200,3.140625,3.125,2.238142251968384
15-12-1989,3.09375,3.140625,155200,3.140625,3.109375,2.2269511222839355
18-12-1989,3.03125,3.078125,224000,3.125,3.03125,2.170996904373169
19-12-1989,3.03125,3.03125,215200,3.0625,3.0625,2.193380117416382
20-12-1989,3.046875,3.0625,166400,3.109375,3.078125,2.2045705318450928
21-12-1989,3.0625,3.109375,174400,3.125,3.109375,2.2269511222839355
22-12-1989,3.109375,3.125,173600,3.125,3.125,2.238142251968384
26-12-1989,3.078125,3.109375,97600,3.109375,3.078125,2.2045705318450928
27-12-1989,3.03125,3.0625,144000,3.0625,3.03125,2.170996904373169
28-12-1989,3.03125,3.046875,11200,3.046875,3.03125,2.170996904373169
29-12-1989,3.015625,3.03125,219200,3.15625,3.15625,2.2605249881744385
02-01-1990,3.03125,3.125,194400,3.125,3.046875,2.182188034057617
03-01-1990,3.03125,3.0625,361600,3.0625,3.03125,2.170996904373169
04-01-1990,2.953125,3.03125,166400,3.0625,2.953125,2.1150448322296143
05-01-1990,2.859375,2.9375,100800,2.9375,2.90625,2.081472158432007
08-01-1990,2.84375,2.875,880800,2.890625,2.859375,2.047900915145874
09-01-1990,2.8125,2.828125,282400,2.84375,2.8125,2.0143284797668457
10-01-1990,2.6875,2.765625,784000,2.765625,2.703125,1.9403045177459717
11-01-1990,2.703125,2.71875,347200,2.765625,2.75,1.9739514589309692
12-01-1990,2.6875,2.71875,159200,2.734375,2.71875,1.9515212774276733
15-01-1990,2.71875,2.734375,25600,2.734375,2.71875,1.9515212774276733
16-01-1990,2.625,2.6875,172800,2.703125,2.703125,1.9403045177459717
17-01-1990,2.71875,2.71875,216000,2.8125,2.71875,1.9515212774276733
18-01-1990,2.6875,2.6875,157600,2.71875,2.703125,1.9403045177459717
19-01-1990,2.734375,2.734375,8800,2.75,2.75,1.9739514589309692
22-01-1990,2.71875,2.734375,56800,2.75,2.734375,1.9627355337142944
23-01-1990,2.734375,2.765625,101600,2.765625,2.75,1.9739514589309692
24-01-1990,2.6875,2.734375,26400,2.734375,2.6875,1.9290891885757446
25-01-1990,2.671875,2.6875,249600,2.71875,2.71875,1.9515212774276733
26-01-1990,2.671875,2.703125,45600,2.71875,2.671875,1.917874813079834
29-01-1990,2.625,2.6875,444000,2.6875,2.640625,1.8954417705535889
30-01-1990,2.578125,2.625,548000,2.65625,2.65625,1.9066574573516846
31-01-1990,2.6875,2.6875,757600,2.859375,2.859375,2.052461624145508
01-02-1990,2.84375,2.875,149600,2.875,2.859375,2.052461624145508
02-02-1990,2.875,2.875,720000,2.90625,2.875,2.0636770725250244
05-02-1990,2.875,2.90625,163200,2.90625,2.875,2.0636770725250244
06-02-1990,2.84375,2.875,99200,2.90625,2.890625,2.0748941898345947
07-02-1990,2.90625,2.90625,32800,2.9375,2.9375,2.1085400581359863
08-02-1990,2.96875,2.96875,346400,3.125,3.046875,2.1870479583740234
09-02-1990,2.96875,3.078125,179200,3.125,3.0,2.153402328491211
12-02-1990,2.90625,3.0,28000,3.0,2.90625,2.086108684539795
13-02-1990,2.9375,2.9375,26400,2.953125,2.953125,2.119755744934082
14-02-1990,2.9375,2.953125,32800,2.96875,2.9375,2.1085400581359863
15-02-1990,2.953125,2.953125,152000,2.96875,2.953125,2.119755744934082
16-02-1990,2.96875,2.96875,32000,2.96875,2.96875,2.130971908569336
20-02-1990,2.953125,2.984375,23200,2.984375,2.953125,2.119755744934082
21-02-1990,2.90625,2.953125,553600,2.953125,2.90625,2.086108684539795
22-02-1990,2.84375,2.90625,148000,2.90625,2.84375,2.041245937347412
23-02-1990,2.6875,2.78125,575200,2.78125,2.71875,1.9515212774276733
26-02-1990,2.734375,2.734375,477600,2.75,2.75,1.9739514589309692
27-02-1990,2.765625,2.765625,357600,2.84375,2.84375,2.041245937347412
28-02-1990,2.796875,2.8125,145600,2.828125,2.796875,2.0075998306274414
01-03-1990,2.75,2.796875,225600,2.796875,2.75,1.9739514589309692
02-03-1990,2.6875,2.75,931200,2.78125,2.703125,1.9403045177459717
05-03-1990,2.65625,2.671875,146400,2.703125,2.671875,1.917874813079834
06-03-1990,2.625,2.671875,258400,2.734375,2.734375,1.9627355337142944
07-03-1990,2.703125,2.734375,174400,2.75,2.75,1.9739514589309692
08-03-1990,2.734375,2.75,146400,2.796875,2.78125,1.9963834285736084
09-03-1990,2.734375,2.75,194400,2.78125,2.734375,1.9627355337142944
12-03-1990,2.625,2.703125,1072800,2.71875,2.6875,1.9290891885757446
13-03-1990,2.671875,2.671875,662400,2.6875,2.6875,1.9290891885757446
14-03-1990,2.671875,2.671875,298400,2.765625,2.765625,1.9851677417755127
15-03-1990,2.71875,2.78125,192000,2.796875,2.71875,1.9515212774276733
16-03-1990,2.734375,2.75,271200,2.78125,2.78125,1.9963834285736084
19-03-1990,2.75,2.75,476000,2.765625,2.765625,1.9851677417755127
20-03-1990,2.75,2.75,898400,2.90625,2.796875,2.0075998306274414
21-03-1990,2.796875,2.796875,102400,2.8125,2.796875,2.0075998306274414
22-03-1990,2.75,2.75,177600,2.765625,2.765625,1.9851677417755127
23-03-1990,2.796875,2.796875,320000,2.796875,2.796875,2.0075998306274414
26-03-1990,2.75,2.78125,37600,2.78125,2.75,1.9739514589309692
27-03-1990,2.734375,2.734375,24000,2.75,2.75,1.9739514589309692
28-03-1990,2.84375,2.84375,706400,2.9375,2.921875,2.0973241329193115
29-03-1990,2.890625,2.921875,361600,2.9375,2.90625,2.086108684539795
30-03-1990,2.921875,2.921875,161600,2.921875,2.921875,2.0973241329193115
02-04-1990,2.84375,2.921875,184800,2.921875,2.875,2.0636770725250244
03-04-1990,2.875,2.875,358400,3.03125,2.984375,2.1421873569488525
04-04-1990,2.90625,2.984375,364800,2.984375,2.90625,2.086108684539795
05-04-1990,2.90625,2.9375,373600,2.953125,2.90625,2.086108684539795
06-04-1990,2.78125,2.921875,810400,2.921875,2.78125,1.9963834285736084
09-04-1990,2.734375,2.734375,336800,2.765625,2.734375,1.9671555757522583
10-04-1990,2.71875,2.75,426400,2.8125,2.765625,1.9896382093429565
11-04-1990,2.71875,2.78125,234400,2.8125,2.734375,1.9671555757522583
12-04-1990,2.59375,2.71875,456000,2.734375,2.625,1.8884695768356323
16-04-1990,2.640625,2.640625,273600,2.734375,2.703125,1.944675326347351
17-04-1990,2.703125,2.71875,16800,2.71875,2.71875,1.955916404724121
18-04-1990,2.6875,2.6875,333600,2.75,2.71875,1.955916404724121
19-04-1990,2.671875,2.71875,207200,2.71875,2.6875,1.9334338903427124
20-04-1990,2.65625,2.671875,168800,2.6875,2.671875,1.922194004058838
23-04-1990,2.625,2.65625,173600,2.65625,2.625,1.8884695768356323
24-04-1990,2.625,2.625,458400,2.671875,2.625,1.8884695768356323
25-04-1990,2.640625,2.65625,104000,2.671875,2.65625,1.9109522104263306
26-04-1990,2.625,2.625,461600,2.6875,2.6875,1.9334338903427124
27-04-1990,2.6875,2.6875,133600,2.703125,2.703125,1.944675326347351
30-04-1990,2.6875,2.703125,68800,2.71875,2.71875,1.955916404724121
01-05-1990,2.6875,2.71875,732800,2.828125,2.8125,2.0233616828918457
02-05-1990,2.765625,2.78125,575200,2.828125,2.8125,2.0233616828918457
03-05-1990,2.828125,2.84375,105600,2.859375,2.828125,2.0346031188964844
04-05-1990,2.78125,2.84375,279200,2.84375,2.78125,2.0008792877197266
07-05-1990,2.78125,2.78125,32800,2.84375,2.84375,2.0458436012268066
08-05-1990,2.828125,2.84375,48800,2.84375,2.828125,2.0346031188964844
09-05-1990,2.796875,2.84375,1232800,2.859375,2.796875,2.0121212005615234
10-05-1990,2.796875,2.8125,428000,2.84375,2.796875,2.0121212005615234
11-05-1990,2.828125,2.828125,172000,2.875,2.875,2.0683257579803467
14-05-1990,2.75,2.890625,2418400,2.890625,2.75,1.978398084640503
15-05-1990,2.75,2.78125,5804800,2.828125,2.8125,2.0233616828918457
16-05-1990,2.8125,2.8125,367200,2.96875,2.90625,2.0908071994781494
17-05-1990,2.921875,2.921875,196000,2.953125,2.953125,2.1245296001434326
18-05-1990,2.96875,2.96875,181600,3.0,3.0,2.1582531929016113
21-05-1990,2.921875,2.96875,74400,2.96875,2.953125,2.1245296001434326
22-05-1990,2.96875,2.984375,40800,2.984375,2.96875,2.1357715129852295
23-05-1990,2.90625,2.96875,30400,2.96875,2.90625,2.0908071994781494
24-05-1990,2.75,2.921875,483200,2.921875,2.8125,2.0233616828918457
25-05-1990,2.75,2.8125,817600,2.875,2.875,2.0683257579803467
29-05-1990,2.890625,2.890625,60800,2.90625,2.90625,2.0908071994781494
30-05-1990,2.921875,2.9375,129600,2.984375,2.96875,2.1357715129852295
31-05-1990,2.90625,2.9375,143200,2.984375,2.96875,2.1357715129852295
01-06-1990,2.953125,2.96875,47200,2.984375,2.96875,2.1357715129852295
04-06-1990,2.90625,2.9375,68000,2.984375,2.984375,2.1470119953155518
05-06-1990,2.796875,2.984375,1125600,3.0,2.890625,2.0795669555664062
06-06-1990,2.875,2.890625,44000,2.90625,2.875,2.0683257579803467
07-06-1990,2.859375,2.890625,212800,2.890625,2.859375,2.057084560394287
08-06-1990,2.8125,2.875,405600,2.875,2.84375,2.0458436012268066
11-06-1990,2.84375,2.859375,48800,2.890625,2.875,2.0683257579803467
12-06-1990,2.859375,2.90625,196000,3.0,2.984375,2.1470119953155518
13-06-1990,2.96875,2.96875,208000,3.09375,2.96875,2.1357715129852295
14-06-1990,2.9375,2.953125,20800,2.984375,2.984375,2.1470119953155518
15-06-1990,2.921875,2.984375,158400,2.984375,2.96875,2.1357715129852295
18-06-1990,2.96875,2.96875,1600,2.96875,2.96875,2.1357715129852295
19-06-1990,2.875,2.9375,174400,2.9375,2.921875,2.102047920227051
20-06-1990,2.90625,2.953125,127200,2.953125,2.9375,2.1132888793945312
21-06-1990,2.921875,2.921875,6400,2.9375,2.9375,2.1132888793945312
22-06-1990,2.921875,2.9375,356800,2.953125,2.953125,2.1245296001434326
25-06-1990,2.90625,2.921875,24800,2.9375,2.921875,2.102047920227051
26-06-1990,2.859375,2.90625,207200,2.921875,2.921875,2.102047920227051
27-06-1990,2.921875,2.921875,13600,2.9375,2.921875,2.102047920227051
28-06-1990,2.9375,2.9375,157600,2.96875,2.96875,2.1357715129852295
29-06-1990,2.953125,2.984375,327200,2.984375,2.96875,2.1357715129852295
02-07-1990,2.875,2.953125,322400,2.953125,2.90625,2.0908071994781494
03-07-1990,2.875,2.9375,308800,2.9375,2.875,2.0683257579803467
05-07-1990,2.8125,2.84375,596800,2.84375,2.828125,2.0346031188964844
06-07-1990,2.78125,2.78125,82400,2.796875,2.796875,2.0121212005615234
09-07-1990,2.75,2.796875,724800,2.8125,2.78125,2.0008792877197266
10-07-1990,2.765625,2.78125,1073600,2.78125,2.78125,2.0053863525390625
11-07-1990,2.78125,2.78125,776000,2.8125,2.796875,2.0166537761688232
12-07-1990,2.796875,2.796875,1208800,2.90625,2.875,2.072983980178833
13-07-1990,2.90625,2.90625,568000,3.0,2.96875,2.1405818462371826
16-07-1990,2.96875,2.984375,680800,3.0,2.96875,2.1405818462371826
17-07-1990,2.921875,2.96875,102400,2.96875,2.921875,2.1067821979522705
18-07-1990,2.84375,2.921875,348000,2.921875,2.84375,2.0504517555236816
19-07-1990,2.796875,2.8125,465600,2.875,2.875,2.072983980178833
20-07-1990,2.890625,2.890625,51200,2.90625,2.890625,2.0842506885528564
23-07-1990,2.859375,2.875,349600,2.9375,2.9375,2.118049144744873
24-07-1990,2.90625,2.90625,353600,3.015625,2.984375,2.1518473625183105
25-07-1990,3.0,3.015625,52000,3.03125,3.03125,2.1856446266174316
26-07-1990,3.03125,3.0625,80000,3.0625,3.0625,2.2081782817840576
27-07-1990,2.984375,3.03125,75200,3.0625,2.984375,2.1518473625183105
30-07-1990,2.984375,3.0,160800,3.0,3.0,2.163114070892334
31-07-1990,2.953125,2.953125,175200,3.015625,3.0,2.163114070892334
01-08-1990,3.0,3.03125,134400,3.0625,3.015625,2.174379587173462
02-08-1990,3.03125,3.125,1056800,3.171875,3.171875,2.2870421409606934
03-08-1990,3.109375,3.15625,1272000,3.265625,3.203125,2.30957293510437
06-08-1990,3.125,3.25,247200,3.265625,3.125,2.2532429695129395
07-08-1990,3.125,3.125,148800,3.140625,3.140625,2.264509916305542
08-08-1990,3.09375,3.125,170400,3.140625,3.09375,2.230710506439209
09-08-1990,3.0625,3.09375,296000,3.09375,3.09375,2.230710506439209
10-08-1990,3.09375,3.09375,299200,3.109375,3.09375,2.230710506439209
13-08-1990,3.078125,3.109375,56800,3.125,3.078125,2.2194440364837646
14-08-1990,3.0625,3.109375,49600,3.109375,3.0625,2.2081782817840576
15-08-1990,3.0625,3.0625,196000,3.15625,3.125,2.2532429695129395
16-08-1990,3.078125,3.109375,140000,3.125,3.109375,2.241976261138916
17-08-1990,3.125,3.140625,201600,3.1875,3.140625,2.264509916305542
20-08-1990,3.046875,3.15625,239200,3.15625,3.046875,2.1969120502471924
21-08-1990,3.0625,3.0625,452000,3.09375,3.078125,2.2194440364837646
22-08-1990,3.015625,3.0625,333600,3.09375,3.015625,2.174379587173462
23-08-1990,2.9375,3.0,364000,3.0,2.96875,2.1405818462371826
24-08-1990,2.921875,2.921875,326400,3.0,3.0,2.163114070892334
27-08-1990,2.953125,3.0,88000,3.0,2.953125,2.1293153762817383
28-08-1990,2.953125,2.953125,8000,2.984375,2.984375,2.1518473625183105
29-08-1990,2.9375,3.015625,140800,3.015625,2.9375,2.118049144744873
30-08-1990,2.90625,2.953125,65600,2.984375,2.984375,2.1518473625183105
31-08-1990,2.890625,2.953125,256800,2.984375,2.921875,2.1067821979522705
04-09-1990,2.9375,2.9375,20000,2.953125,2.953125,2.1293153762817383
05-09-1990,2.953125,2.953125,223200,3.1875,3.171875,2.2870421409606934
06-09-1990,3.1875,3.203125,317600,3.296875,3.296875,2.377171516418457
07-09-1990,3.296875,3.296875,160800,3.359375,3.359375,2.422236204147339
10-09-1990,3.328125,3.328125,1408800,3.390625,3.359375,2.422236204147339
11-09-1990,3.1875,3.375,963200,3.375,3.3125,2.388437271118164
12-09-1990,3.265625,3.34375,336000,3.34375,3.3125,2.388437271118164
13-09-1990,3.25,3.3125,405600,3.328125,3.25,2.343374013900757
14-09-1990,3.25,3.25,209600,3.390625,3.390625,2.4447691440582275
17-09-1990,3.375,3.390625,1116000,3.46875,3.46875,2.5010986328125
18-09-1990,3.46875,3.46875,776800,3.765625,3.671875,2.64755916595459
19-09-1990,3.65625,3.6875,1624800,3.6875,3.65625,2.636293888092041
20-09-1990,3.53125,3.65625,432000,3.65625,3.53125,2.546164035797119
21-09-1990,3.46875,3.484375,521600,3.5625,3.5625,2.568696975708008
24-09-1990,3.484375,3.5625,112800,3.5625,3.515625,2.5348997116088867
25-09-1990,3.5,3.5,221600,3.515625,3.515625,2.5348997116088867
26-09-1990,3.453125,3.515625,55200,3.515625,3.46875,2.5010986328125
27-09-1990,3.375,3.4375,72800,3.453125,3.375,2.433502674102783
28-09-1990,3.28125,3.375,163200,3.375,3.34375,2.4109694957733154
01-10-1990,3.296875,3.328125,455200,3.390625,3.34375,2.4109694957733154
02-10-1990,3.328125,3.359375,72000,3.359375,3.359375,2.422236204147339
03-10-1990,3.3125,3.34375,26400,3.34375,3.34375,2.4109694957733154
04-10-1990,3.25,3.34375,313600,3.34375,3.25,2.343374013900757
05-10-1990,3.1875,3.234375,550400,3.296875,3.1875,2.2983078956604004
08-10-1990,3.1875,3.203125,411200,3.234375,3.1875,2.2983078956604004
09-10-1990,3.203125,3.203125,298400,3.375,3.34375,2.415706157684326
10-10-1990,3.21875,3.34375,200000,3.34375,3.234375,2.3366880416870117
11-10-1990,3.203125,3.25,34400,3.25,3.21875,2.3253986835479736
12-10-1990,3.171875,3.1875,89600,3.203125,3.203125,2.3141112327575684
15-10-1990,3.15625,3.203125,36800,3.203125,3.15625,2.280247211456299
16-10-1990,3.109375,3.140625,153600,3.15625,3.109375,2.2463815212249756
17-10-1990,3.09375,3.109375,11200,3.125,3.125,2.2576708793640137
18-10-1990,3.109375,3.109375,113600,3.125,3.109375,2.2463815212249756
19-10-1990,3.078125,3.109375,36800,3.109375,3.09375,2.235092878341675
22-10-1990,3.0625,3.109375,68000,3.109375,3.0625,2.2125165462493896
23-10-1990,3.0625,3.0625,17600,3.109375,3.109375,2.2463815212249756
24-10-1990,3.125,3.125,120000,3.15625,3.15625,2.280247211456299
25-10-1990,3.1875,3.1875,112800,3.328125,3.328125,2.4044179916381836
26-10-1990,3.3125,3.3125,22400,3.359375,3.359375,2.426995277404785
29-10-1990,3.359375,3.375,16000,3.375,3.359375,2.426995277404785
30-10-1990,3.28125,3.34375,29600,3.359375,3.296875,2.3818421363830566
31-10-1990,3.3125,3.3125,366400,3.453125,3.375,2.4382824897766113
01-11-1990,3.359375,3.375,163200,3.375,3.375,2.4382824897766113
02-11-1990,3.375,3.375,469600,3.53125,3.5,2.5285894870758057
05-11-1990,3.46875,3.53125,426400,3.546875,3.46875,2.5060133934020996
06-11-1990,3.421875,3.484375,8800,3.484375,3.421875,2.4721477031707764
07-11-1990,3.375,3.421875,148000,3.421875,3.375,2.4382824897766113
08-11-1990,3.34375,3.34375,37600,3.390625,3.390625,2.4495723247528076
09-11-1990,3.375,3.375,397600,3.4375,3.421875,2.4721477031707764
12-11-1990,3.328125,3.390625,76800,3.390625,3.328125,2.4044179916381836
13-11-1990,3.109375,3.15625,208000,3.15625,3.109375,2.2463815212249756
14-11-1990,3.109375,3.125,75200,3.1875,3.1875,2.3028242588043213
15-11-1990,3.125,3.15625,45600,3.171875,3.140625,2.2689568996429443
16-11-1990,3.09375,3.140625,300800,3.15625,3.15625,2.280247211456299
19-11-1990,2.984375,3.15625,456800,3.15625,2.984375,2.1560754776000977
20-11-1990,2.84375,2.96875,329600,2.96875,2.921875,2.1109211444854736
21-11-1990,2.890625,2.90625,32800,2.96875,2.96875,2.144787311553955
23-11-1990,2.96875,2.96875,18400,2.984375,2.96875,2.144787311553955
26-11-1990,2.96875,2.984375,40000,3.0,2.96875,2.144787311553955
27-11-1990,2.9375,2.984375,39200,2.984375,2.953125,2.133498430252075
28-11-1990,2.90625,2.953125,145600,2.953125,2.921875,2.1109211444854736
29-11-1990,2.90625,2.90625,36800,2.90625,2.90625,2.0996322631835938
30-11-1990,2.765625,2.875,236000,2.890625,2.8125,2.0319015979766846
03-12-1990,2.609375,2.796875,366400,2.796875,2.75,1.9867486953735352
04-12-1990,2.671875,2.734375,230400,2.734375,2.71875,1.9641722440719604
05-12-1990,2.71875,2.71875,432000,2.796875,2.78125,2.0093252658843994
06-12-1990,2.734375,2.78125,248800,2.8125,2.75,1.9867486953735352
07-12-1990,2.625,2.71875,257600,2.71875,2.71875,1.9641722440719604
10-12-1990,2.703125,2.734375,179200,2.734375,2.71875,1.9641722440719604
11-12-1990,2.703125,2.703125,981600,2.78125,2.734375,1.9754605293273926
12-12-1990,2.734375,2.75,493600,2.78125,2.78125,2.0093252658843994
13-12-1990,2.71875,2.75,908000,2.75,2.71875,1.9641722440719604
14-12-1990,2.65625,2.71875,207200,2.78125,2.78125,2.0093252658843994
17-12-1990,2.734375,2.796875,89600,2.828125,2.734375,1.9754605293273926
18-12-1990,2.703125,2.765625,153600,2.796875,2.703125,1.952884316444397
19-12-1990,2.640625,2.703125,277600,2.734375,2.640625,1.9077309370040894
20-12-1990,2.546875,2.609375,1007200,2.609375,2.5625,1.8512874841690063
21-12-1990,2.484375,2.484375,980000,2.515625,2.5,1.806136131286621
24-12-1990,2.5,2.5,222400,2.546875,2.546875,1.840000867843628
26-12-1990,2.5625,2.5625,93600,2.75,2.75,1.9867486953735352
27-12-1990,2.71875,2.75,51200,2.75,2.734375,1.9754605293273926
28-12-1990,2.65625,2.71875,49600,2.71875,2.65625,1.9190194606781006
31-12-1990,2.53125,2.65625,364800,2.65625,2.65625,1.9190194606781006
02-01-1991,2.59375,2.625,36000,2.625,2.59375,1.8738666772842407
03-01-1991,2.484375,2.59375,413600,2.59375,2.484375,1.7948471307754517
04-01-1991,2.328125,2.4375,216800,2.4375,2.328125,1.6819636821746826
07-01-1991,2.21875,2.296875,599200,2.3125,2.265625,1.636810064315796
08-01-1991,2.15625,2.25,679200,2.265625,2.15625,1.5577919483184814
09-01-1991,2.140625,2.171875,572000,2.1875,2.140625,1.5509989261627197
