Date,Low,Open,Volume,High,Close,Adjusted Close
12-08-1993,13.6875,14.5,13086600,14.5,14.3125,3.0534331798553467
13-08-1993,13.875,14.25,1277800,14.25,13.875,2.960097551345825
16-08-1993,13.8125,13.875,559000,14.0,14.0,2.986764430999756
17-08-1993,13.9375,14.0,545600,14.125,14.0625,3.000098466873169
18-08-1993,14.0625,14.0625,469200,14.0625,14.0625,3.000098466873169
19-08-1993,13.8125,14.0625,409400,14.0625,13.8125,2.946762800216675
20-08-1993,13.875,13.875,540800,14.0625,13.9375,2.973430871963501
23-08-1993,13.875,13.9375,335600,14.0625,14.0,2.986764430999756
24-08-1993,14.0,14.0,234400,14.1875,14.1875,3.026766300201416
25-08-1993,14.0,14.0625,102600,14.0625,14.0,2.986764430999756
26-08-1993,14.0,14.0,180400,14.3125,14.3125,3.0534331798553467
27-08-1993,14.0625,14.3125,119600,14.3125,14.125,3.013432264328003
30-08-1993,14.0625,14.0625,71400,14.25,14.125,3.013432264328003
31-08-1993,14.125,14.125,147000,14.4375,14.375,3.0667686462402344
01-09-1993,14.3125,14.4375,141600,14.5,14.3125,3.0534331798553467
02-09-1993,14.375,14.5,217600,14.5,14.5,3.093435287475586
03-09-1993,14.4375,14.4375,178800,14.8125,14.625,3.1201021671295166
07-09-1993,14.5625,14.5625,167600,14.8125,14.6875,3.133437156677246
08-09-1993,14.5,14.8125,276200,14.875,14.5,3.093435287475586
09-09-1993,14.5,14.5,74400,14.875,14.625,3.1201021671295166
10-09-1993,14.5625,14.5625,245000,15.25,15.125,3.2267723083496094
13-09-1993,14.875,14.9375,251200,15.0,15.0,3.200106620788574
14-09-1993,14.5625,14.75,127000,14.8125,14.75,3.1467692852020264
15-09-1993,14.5625,14.75,162400,14.75,14.75,3.1467692852020264
16-09-1993,14.6875,14.875,88800,14.875,14.875,3.173435926437378
17-09-1993,14.75,14.8125,113000,15.0625,15.0625,3.213437795639038
20-09-1993,14.75,14.8125,15400,14.9375,14.75,3.168860673904419
21-09-1993,14.6875,14.875,286000,14.875,14.8125,3.182286024093628
22-09-1993,14.6875,14.75,54800,14.9375,14.9375,3.2091403007507324
23-09-1993,14.6875,14.875,51000,14.875,14.8125,3.182286024093628
24-09-1993,14.75,14.75,265000,15.0625,15.0625,3.235995292663574
27-09-1993,15.0625,15.0625,675400,15.75,15.6875,3.3702704906463623
28-09-1993,15.5,15.625,360800,15.8125,15.75,3.3836984634399414
29-09-1993,15.75,15.75,823200,16.125,15.75,3.3836984634399414
30-09-1993,15.5,15.6875,138000,15.75,15.5625,3.3434157371520996
01-10-1993,15.5625,15.5625,31600,15.75,15.5625,3.3434157371520996
04-10-1993,15.125,15.5,27600,15.5,15.25,3.2762787342071533
05-10-1993,15.1875,15.25,87600,15.4375,15.25,3.2762787342071533
06-10-1993,15.125,15.125,327600,15.5625,15.5,3.3299880027770996
07-10-1993,15.375,15.375,40400,15.75,15.5625,3.3434157371520996
08-10-1993,15.6875,15.6875,1242600,17.5,17.125,3.67910099029541
11-10-1993,17.0,17.0,885200,17.25,17.0,3.6522436141967773
12-10-1993,17.0,17.0,708200,18.25,18.0,3.8670811653137207
13-10-1993,17.75,18.125,55600,18.125,17.75,3.8133749961853027
14-10-1993,17.75,17.75,55000,17.75,17.75,3.8133749961853027
15-10-1993,17.75,17.75,200600,18.375,18.125,3.8939380645751953
18-10-1993,17.75,18.0625,47200,18.3125,18.0625,3.8805110454559326
19-10-1993,17.5,17.9375,173400,17.9375,17.5,3.759664535522461
20-10-1993,17.0625,17.5,141600,17.5625,17.4375,3.746237277984619
21-10-1993,17.1875,17.3125,32200,17.3125,17.25,3.7059545516967773
22-10-1993,17.1875,17.1875,161000,17.75,17.5,3.759664535522461
25-10-1993,17.125,17.4375,48000,17.625,17.375,3.7328073978424072
26-10-1993,16.9375,17.125,27000,17.125,16.9375,3.6388180255889893
27-10-1993,16.6875,16.75,122400,16.8125,16.75,3.598533868789673
28-10-1993,16.5,16.75,75400,17.0,17.0,3.6522436141967773
29-10-1993,17.0,17.125,224400,17.3125,17.3125,3.7193799018859863
01-11-1993,17.1875,17.25,24400,17.375,17.375,3.7328073978424072
02-11-1993,17.1875,17.25,68800,17.375,17.3125,3.7193799018859863
03-11-1993,17.25,17.3125,233600,17.5,17.5,3.759664535522461
04-11-1993,16.875,17.4375,267400,17.4375,16.875,3.6253883838653564
05-11-1993,16.875,16.875,333200,17.5,17.375,3.7328073978424072
08-11-1993,17.375,17.5,164600,17.9375,17.9375,3.85365629196167
09-11-1993,17.9375,18.125,192800,18.25,17.9375,3.85365629196167
10-11-1993,17.625,17.8125,6800,17.8125,17.625,3.7865188121795654
11-11-1993,17.1875,17.5,95800,17.5,17.375,3.7328073978424072
12-11-1993,17.375,17.5,70400,17.5,17.4375,3.746237277984619
15-11-1993,16.75,17.3125,138000,17.3125,17.25,3.7059545516967773
16-11-1993,16.875,17.1875,12200,17.1875,16.9375,3.6388180255889893
17-11-1993,16.3125,16.8125,190800,16.875,16.4375,3.531397819519043
18-11-1993,15.5625,16.25,310600,16.3125,15.75,3.3836984634399414
19-11-1993,15.5625,15.75,180200,15.8125,15.75,3.3836984634399414
22-11-1993,15.625,15.6875,52200,15.6875,15.6875,3.3702704906463623
23-11-1993,15.5,15.6875,163200,15.75,15.5625,3.3434157371520996
24-11-1993,15.375,15.4375,289200,15.6875,15.5625,3.3434157371520996
26-11-1993,15.5,15.5625,19000,15.5625,15.5,3.3299880027770996
29-11-1993,15.4375,15.625,96400,15.75,15.5,3.3299880027770996
30-11-1993,15.4375,15.4375,162600,16.25,16.25,3.4911181926727295
01-12-1993,15.625,16.125,117600,16.125,15.8125,3.397125720977783
02-12-1993,15.4375,15.625,28200,15.625,15.625,3.4074835777282715
03-12-1993,15.3125,15.5,34800,15.5,15.5,3.380223274230957
06-12-1993,15.3125,15.3125,191800,15.6875,15.6875,3.421113967895508
07-12-1993,15.5,15.6875,22600,15.75,15.75,3.4347448348999023
08-12-1993,15.5,15.75,27000,15.75,15.5,3.380223274230957
09-12-1993,15.5,15.5,52400,15.6875,15.5625,3.3938543796539307
10-12-1993,15.5,15.6875,146000,15.6875,15.625,3.4074835777282715
13-12-1993,15.5,15.6875,257200,15.6875,15.625,3.4074835777282715
14-12-1993,14.875,15.625,168800,15.625,14.875,3.2439236640930176
15-12-1993,14.5625,14.75,409600,15.5,15.5,3.380223274230957
16-12-1993,15.5,15.5,119800,16.125,15.75,3.4347448348999023
17-12-1993,15.625,15.875,59400,15.875,15.625,3.4074835777282715
20-12-1993,15.5625,15.625,54600,15.75,15.625,3.4074835777282715
21-12-1993,15.25,15.75,239000,15.75,15.375,3.3529632091522217
22-12-1993,15.5,15.5,16600,15.5625,15.5,3.380223274230957
23-12-1993,15.5,15.5625,51000,15.75,15.5,3.380223274230957
27-12-1993,15.5,15.5,50000,15.5,15.5,3.380223274230957
28-12-1993,15.625,15.625,239000,15.9375,15.9375,3.475635051727295
29-12-1993,15.75,15.875,394600,15.9375,15.8125,3.448374032974243
30-12-1993,15.5,15.75,160000,15.75,15.75,3.4347448348999023
31-12-1993,15.5625,15.8125,56000,15.9375,15.9375,3.475635051727295
03-01-1994,15.25,15.8125,82200,15.8125,15.25,3.3257040977478027
