Date,Low,Open,Volume,High,Close,Adjusted Close
16-03-1999,22.5,22.5,4900,23.25,23.25,12.271133422851562
17-03-1999,23.25,23.25,3100,23.25,23.25,12.271133422851562
18-03-1999,23.25,23.25,100,23.25,23.25,12.271133422851562
19-03-1999,23.25,23.25,500,23.25,23.25,12.271133422851562
22-03-1999,23.25,23.25,0,23.25,23.25,12.271133422851562
23-03-1999,23.25,23.25,0,23.25,23.25,12.271133422851562
24-03-1999,23.0,24.25,2000,24.25,23.0,12.139184951782227
25-03-1999,23.0,23.0,0,23.0,23.0,12.139184951782227
26-03-1999,23.0,23.0,0,23.0,23.0,12.139184951782227
29-03-1999,23.0,23.0,0,23.0,23.0,12.139184951782227
30-03-1999,23.0,23.0,0,23.0,23.0,12.139184951782227
31-03-1999,23.0,23.0,2000,24.25,24.25,12.798925399780273
01-04-1999,24.25,24.25,0,24.25,24.25,12.798925399780273
05-04-1999,24.25,24.25,0,24.25,24.25,12.798925399780273
06-04-1999,24.25,24.25,0,24.25,24.25,12.798925399780273
07-04-1999,24.25,24.25,0,24.25,24.25,12.798925399780273
08-04-1999,24.25,24.25,0,24.25,24.25,12.798925399780273
09-04-1999,24.25,24.25,0,24.25,24.25,12.798925399780273
12-04-1999,21.0,21.0,700,21.0,21.0,11.083602905273438
13-04-1999,21.0,21.0,0,21.0,21.0,11.083602905273438
14-04-1999,23.0,23.0,1400,24.0,24.0,12.66698169708252
15-04-1999,24.0,24.0,0,24.0,24.0,12.66698169708252
16-04-1999,24.5,25.0,200,25.0,24.5,12.930874824523926
19-04-1999,24.5,24.5,0,24.5,24.5,12.930874824523926
20-04-1999,22.0,25.0,200,25.0,22.0,11.611400604248047
21-04-1999,22.0,22.0,500,24.0,24.0,12.66698169708252
22-04-1999,24.0,24.0,100,24.0,24.0,12.66698169708252
23-04-1999,22.0,22.0,7700,23.5,23.5,12.403080940246582
26-04-1999,23.4375,24.0,2100,24.0,24.0,12.66698169708252
27-04-1999,23.0,24.0,5000,26.0,25.0,13.194771766662598
28-04-1999,25.0,26.5,700,26.5,25.0,13.194771766662598
29-04-1999,25.0,25.0,0,25.0,25.0,13.194771766662598
30-04-1999,25.0,25.0,0,25.0,25.0,13.194771766662598
03-05-1999,26.0,26.0,1200,26.0,26.0,13.722561836242676
04-05-1999,26.0,26.0,0,26.0,26.0,13.722561836242676
05-05-1999,26.0,26.0,0,26.0,26.0,13.722561836242676
06-05-1999,26.0,26.0,0,26.0,26.0,13.722561836242676
