Date,Low,Open,Volume,High,Close,Adjusted Close
21-02-1973,4.546875,4.546875,20000,4.546875,4.546875,2.450355291366577
22-02-1973,4.578125,4.578125,6400,4.578125,4.578125,2.4671969413757324
23-02-1973,4.734375,4.734375,43200,4.734375,4.734375,2.551400899887085
26-02-1973,4.734375,4.734375,4800,4.734375,4.734375,2.551400899887085
27-02-1973,4.671875,4.671875,1600,4.671875,4.671875,2.5177197456359863
28-02-1973,4.625,4.625,65600,4.625,4.625,2.492457866668701
01-03-1973,4.640625,4.640625,3200,4.640625,4.640625,2.500878095626831
02-03-1973,4.625,4.625,1600,4.625,4.625,2.492457866668701
05-03-1973,4.59375,4.59375,14400,4.59375,4.59375,2.475616455078125
06-03-1973,4.609375,4.609375,108000,4.609375,4.609375,2.484036445617676
07-03-1973,4.5,4.5,36000,4.5,4.5,2.4250946044921875
08-03-1973,4.5,4.5,8000,4.5,4.5,2.4250946044921875
09-03-1973,4.375,4.375,16800,4.375,4.375,2.3577303886413574
12-03-1973,4.25,4.25,17600,4.25,4.25,2.2903661727905273
13-03-1973,4.3125,4.3125,14400,4.3125,4.3125,2.324049234390259
14-03-1973,4.265625,4.265625,13600,4.265625,4.265625,2.2987871170043945
15-03-1973,4.25,4.25,28000,4.25,4.25,2.2903661727905273
16-03-1973,4.25,4.25,121600,4.25,4.25,2.2903661727905273
19-03-1973,4.265625,4.265625,16800,4.265625,4.265625,2.2987871170043945
20-03-1973,4.21875,4.21875,20000,4.21875,4.21875,2.273527145385742
21-03-1973,4.15625,4.15625,16800,4.15625,4.15625,2.2398438453674316
22-03-1973,3.890625,3.890625,16000,3.890625,3.890625,2.096696615219116
23-03-1973,3.8125,3.8125,44000,3.8125,3.8125,2.0545928478240967
26-03-1973,3.78125,3.78125,25600,3.78125,3.78125,2.0377514362335205
27-03-1973,4.0,4.0,25600,4.0,4.0,2.1556396484375
28-03-1973,4.234375,4.234375,12800,4.234375,4.234375,2.28194522857666
29-03-1973,4.375,4.375,25600,4.375,4.375,2.3577303886413574
30-03-1973,4.375,4.375,35200,4.375,4.375,2.3577303886413574
02-04-1973,4.34375,4.34375,16000,4.34375,4.34375,2.340888500213623
03-04-1973,4.203125,4.203125,127200,4.203125,4.203125,2.2651052474975586
04-04-1973,4.09375,4.09375,32800,4.09375,4.09375,2.206162929534912
05-04-1973,4.0,4.0,29600,4.0,4.0,2.1556396484375
06-04-1973,3.90625,3.90625,55200,3.90625,3.90625,2.1051158905029297
09-04-1973,4.03125,4.03125,36000,4.03125,4.03125,2.1724801063537598
10-04-1973,4.125,4.125,12000,4.125,4.125,2.223003625869751
11-04-1973,4.125,4.125,53600,4.125,4.125,2.223003625869751
12-04-1973,4.125,4.125,16000,4.125,4.125,2.223003625869751
13-04-1973,4.09375,4.09375,12000,4.09375,4.09375,2.206162929534912
16-04-1973,3.96875,3.96875,24000,3.96875,3.96875,2.138798475265503
17-04-1973,4.03125,4.03125,12800,4.03125,4.03125,2.1724801063537598
18-04-1973,4.03125,4.03125,2400,4.03125,4.03125,2.1724801063537598
19-04-1973,4.0625,4.0625,25600,4.0625,4.0625,2.1893210411071777
23-04-1973,4.125,4.125,10400,4.125,4.125,2.223003625869751
24-04-1973,4.0625,4.0625,3200,4.0625,4.0625,2.1893210411071777
25-04-1973,4.0625,4.0625,12800,4.0625,4.0625,2.1893210411071777
26-04-1973,4.09375,4.09375,25600,4.09375,4.09375,2.206162929534912
27-04-1973,4.078125,4.078125,4000,4.078125,4.078125,2.197741746902466
30-04-1973,4.015625,4.015625,20000,4.015625,4.015625,2.1640594005584717
01-05-1973,3.8125,3.8125,41600,3.8125,3.8125,2.0545928478240967
02-05-1973,3.875,3.875,38400,3.875,3.875,2.0882742404937744
03-05-1973,3.90625,0.0,13600,4.0,4.0,2.1556396484375
04-05-1973,4.03125,0.0,13600,4.171875,4.125,2.223003625869751
07-05-1973,4.0625,0.0,4800,4.09375,4.0625,2.1893210411071777
08-05-1973,3.96875,0.0,7200,4.09375,4.0,2.1556396484375
09-05-1973,3.875,0.0,283200,3.96875,3.921875,2.1135356426239014
10-05-1973,3.921875,0.0,4000,3.984375,3.984375,2.1472177505493164
11-05-1973,3.953125,0.0,24800,3.984375,3.953125,2.1303789615631104
14-05-1973,3.875,0.0,10400,3.921875,3.875,2.0882742404937744
15-05-1973,3.84375,0.0,57600,3.875,3.84375,2.0714352130889893
16-05-1973,3.796875,0.0,121600,3.8125,3.796875,2.046173095703125
17-05-1973,3.734375,0.0,23200,3.8125,3.734375,2.0124919414520264
18-05-1973,3.46875,0.0,49600,3.734375,3.46875,1.8693426847457886
21-05-1973,3.375,0.0,60000,3.46875,3.40625,1.8356605768203735
22-05-1973,3.40625,0.0,39200,3.5,3.484375,1.8777636289596558
23-05-1973,3.5,0.0,9600,3.625,3.625,1.9535486698150635
24-05-1973,3.625,0.0,9600,3.703125,3.703125,1.995649814605713
25-05-1973,3.8125,0.0,50400,3.921875,3.828125,2.063014030456543
29-05-1973,3.8125,0.0,35200,3.890625,3.8125,2.0545928478240967
30-05-1973,3.65625,0.0,18400,3.78125,3.65625,1.9703878164291382
31-05-1973,3.546875,0.0,10400,3.625,3.546875,1.9114460945129395
01-06-1973,3.5,0.0,38400,3.53125,3.53125,1.9030245542526245
04-06-1973,3.46875,0.0,30400,3.53125,3.5,1.886184811592102
05-06-1973,3.5,0.0,22400,3.6875,3.625,1.9535486698150635
06-06-1973,3.5,0.0,16800,3.59375,3.515625,1.8946044445037842
07-06-1973,3.5,0.0,11200,3.5625,3.5625,1.9198654890060425
08-06-1973,3.578125,0.0,11200,3.609375,3.578125,1.9282872676849365
11-06-1973,3.609375,0.0,4800,3.640625,3.625,1.9535486698150635
12-06-1973,3.671875,0.0,4000,3.734375,3.734375,2.0124919414520264
13-06-1973,3.75,0.0,15200,3.78125,3.75,2.020911455154419
