Date,Low,Open,Volume,High,Close,Adjusted Close
17-12-1974,6.625,0.0,310800,7.375,7.25,1.9679242372512817
18-12-1974,7.5,0.0,95400,7.75,7.5416669845581055,2.0470924377441406
19-12-1974,7.4166669845581055,0.0,143100,8.083333015441895,7.9166669845581055,2.1488821506500244
20-12-1974,7.7083330154418945,0.0,75300,7.9583330154418945,7.7083330154418945,2.0923328399658203
23-12-1974,7.5833330154418945,0.0,112800,8.0,8.0,2.1715023517608643
24-12-1974,8.041666984558105,0.0,65700,8.333333015441895,8.166666984558105,2.216740846633911
26-12-1974,8.083333015441895,0.0,40800,8.458333015441895,8.166666984558105,2.216740846633911
27-12-1974,7.75,0.0,82500,8.083333015441895,7.7916669845581055,2.114952802658081
30-12-1974,7.7083330154418945,0.0,37800,8.083333015441895,8.083333015441895,2.194121837615967
31-12-1974,8.208333015441895,0.0,74100,8.458333015441895,8.25,2.23936128616333
02-01-1975,8.25,0.0,119100,8.916666984558105,8.583333015441895,2.3298416137695312
03-01-1975,8.333333015441895,0.0,43800,8.583333015441895,8.375,2.2732903957366943
06-01-1975,8.333333015441895,0.0,137100,8.708333015441895,8.333333015441895,2.26198148727417
07-01-1975,8.166666984558105,0.0,25500,8.291666984558105,8.25,2.23936128616333
08-01-1975,8.041666984558105,0.0,95100,8.458333015441895,8.083333015441895,2.194121837615967
09-01-1975,7.875,0.0,128700,8.25,8.166666984558105,2.216740846633911
10-01-1975,8.375,0.0,101100,8.75,8.375,2.2732903957366943
13-01-1975,8.25,0.0,95700,8.541666984558105,8.25,2.23936128616333
14-01-1975,8.25,0.0,145800,8.541666984558105,8.541666984558105,2.3185298442840576
15-01-1975,8.416666984558105,0.0,161700,8.75,8.75,2.3750805854797363
16-01-1975,8.666666984558105,0.0,80100,8.958333015441895,8.666666984558105,2.3524587154388428
17-01-1975,8.25,0.0,61500,8.666666984558105,8.333333015441895,2.26198148727417
20-01-1975,8.25,0.0,51900,8.5,8.458333015441895,2.2959117889404297
21-01-1975,8.583333015441895,0.0,62400,8.75,8.583333015441895,2.3298416137695312
22-01-1975,8.25,0.0,57600,8.458333015441895,8.375,2.2732903957366943
23-01-1975,8.416666984558105,0.0,41700,8.666666984558105,8.625,2.3411521911621094
24-01-1975,8.333333015441895,0.0,89700,8.666666984558105,8.583333015441895,2.3298416137695312
27-01-1975,8.916666984558105,0.0,99000,9.208333015441895,9.083333015441895,2.4655580520629883
28-01-1975,8.916666984558105,0.0,134100,9.333333015441895,9.166666984558105,2.488180160522461
29-01-1975,9.0,0.0,111900,9.208333015441895,9.083333015441895,2.4655580520629883
30-01-1975,8.666666984558105,0.0,71700,9.166666984558105,8.75,2.3750805854797363
31-01-1975,8.708333015441895,0.0,113100,9.166666984558105,9.083333015441895,2.4655580520629883
03-02-1975,9.125,0.0,78300,9.75,9.583333015441895,2.601278305053711
04-02-1975,9.166666984558105,0.0,74100,9.75,9.208333015441895,2.4994895458221436
05-02-1975,9.25,0.0,126600,9.583333015441895,9.5,2.5786590576171875
06-02-1975,9.541666984558105,0.0,205800,10.125,9.541666984558105,2.589968681335449
07-02-1975,9.166666984558105,0.0,85800,9.333333015441895,9.25,2.510800361633301
10-02-1975,9.25,0.0,141000,9.375,9.375,2.5447287559509277
11-02-1975,9.166666984558105,0.0,66900,9.333333015441895,9.166666984558105,2.488180160522461
12-02-1975,9.083333015441895,0.0,316800,9.333333015441895,9.291666984558105,2.522108316421509
13-02-1975,9.291666984558105,0.0,231900,9.583333015441895,9.291666984558105,2.522108316421509
14-02-1975,9.25,0.0,122400,9.458333015441895,9.291666984558105,2.522108316421509
18-02-1975,8.916666984558105,0.0,67200,9.25,9.041666984558105,2.4542500972747803
19-02-1975,8.708333015441895,0.0,99000,9.125,9.125,2.476870059967041
20-02-1975,8.75,0.0,120900,9.291666984558105,9.291666984558105,2.522108316421509
21-02-1975,8.916666984558105,0.0,151500,9.25,9.041666984558105,2.4542500972747803
24-02-1975,9.041666984558105,0.0,138900,9.291666984558105,9.083333015441895,2.4655580520629883
25-02-1975,8.791666984558105,0.0,100500,9.166666984558105,8.916666984558105,2.4203200340270996
26-02-1975,8.875,0.0,99900,9.083333015441895,9.041666984558105,2.4542500972747803
27-02-1975,9.0,0.0,87900,9.25,9.083333015441895,2.4655580520629883
28-02-1975,9.083333015441895,0.0,37200,9.333333015441895,9.333333015441895,2.5334179401397705
03-03-1975,9.416666984558105,0.0,78900,9.666666984558105,9.666666984558105,2.6238973140716553
04-03-1975,9.875,0.0,224400,10.333333015441895,10.0,2.71437931060791
05-03-1975,9.875,0.0,159300,10.5,10.25,2.782238721847534
06-03-1975,10.083333015441895,0.0,55200,10.583333015441895,10.541666984558105,2.8614072799682617
07-03-1975,10.416666984558105,0.0,174300,10.875,10.625,2.8840255737304688
10-03-1975,10.375,0.0,85200,10.75,10.666666984558105,2.895336151123047
11-03-1975,10.416666984558105,0.0,109800,10.75,10.5,2.8500962257385254
12-03-1975,10.166666984558105,0.0,161100,10.5,10.166666984558105,2.7596170902252197
13-03-1975,9.958333015441895,0.0,26100,10.291666984558105,10.291666984558105,2.7935452461242676
14-03-1975,9.833333015441895,0.0,144300,10.125,9.958333015441895,2.703068256378174
17-03-1975,10.0,0.0,114900,10.625,10.625,2.8840255737304688
18-03-1975,10.416666984558105,0.0,134400,10.791666984558105,10.625,2.8908276557922363
19-03-1975,10.208333015441895,0.0,53100,10.583333015441895,10.25,2.7887988090515137
20-03-1975,10.208333015441895,0.0,72300,10.458333015441895,10.25,2.7887988090515137
21-03-1975,9.958333015441895,0.0,105900,10.666666984558105,10.333333015441895,2.8114709854125977
24-03-1975,9.75,0.0,151500,10.0,9.916666984558105,2.698108196258545
25-03-1975,9.25,0.0,240900,10.083333015441895,10.041666984558105,2.732116937637329
26-03-1975,9.916666984558105,0.0,104700,10.25,10.083333015441895,2.743452310562134
27-03-1975,10.041666984558105,0.0,69900,10.375,10.041666984558105,2.732116937637329
31-03-1975,9.875,0.0,59400,10.208333015441895,10.0,2.720781087875366
01-04-1975,9.5,0.0,173700,9.833333015441895,9.708333015441895,2.6414237022399902
02-04-1975,9.416666984558105,0.0,306300,9.833333015441895,9.541666984558105,2.596076488494873
03-04-1975,9.416666984558105,0.0,30000,9.791666984558105,9.666666984558105,2.6300864219665527
04-04-1975,9.333333015441895,0.0,263100,9.625,9.458333015441895,2.573404550552368
07-04-1975,9.333333015441895,0.0,74400,9.583333015441895,9.541666984558105,2.596076488494873
08-04-1975,9.458333015441895,0.0,68400,9.666666984558105,9.5,2.5847408771514893
09-04-1975,9.541666984558105,0.0,93600,10.166666984558105,10.166666984558105,2.766125440597534
10-04-1975,10.125,0.0,112800,10.875,10.666666984558105,2.9021642208099365
11-04-1975,10.416666984558105,0.0,94200,11.0,11.0,2.992858409881592
14-04-1975,10.333333015441895,0.0,94500,11.0,10.916666984558105,2.9701850414276123
15-04-1975,10.5,0.0,66000,11.125,10.5,2.8568179607391357
16-04-1975,10.25,0.0,151200,10.875,10.875,2.9588468074798584
17-04-1975,10.958333015441895,0.0,138300,11.333333015441895,11.208333015441895,3.049539804458618
18-04-1975,10.875,0.0,112500,11.208333015441895,11.0,2.992858409881592
