Date,Low,Open,Volume,High,Close,Adjusted Close
25-08-1995,6.724999904632568,6.724999904632568,3541000,6.824999809265137,6.800000190734863,3.276613473892212
28-08-1995,6.650000095367432,6.775000095367432,1418500,6.775000095367432,6.699999809265137,3.2284278869628906
29-08-1995,6.625,6.75,879000,6.775000095367432,6.699999809265137,3.2284278869628906
30-08-1995,6.675000190734863,6.699999809265137,436500,6.724999904632568,6.724999904632568,3.2404730319976807
31-08-1995,6.650000095367432,6.724999904632568,606500,6.724999904632568,6.699999809265137,3.2284278869628906
01-09-1995,6.675000190734863,6.699999809265137,217000,6.724999904632568,6.724999904632568,3.2404730319976807
05-09-1995,6.675000190734863,6.699999809265137,385500,6.724999904632568,6.699999809265137,3.2284278869628906
06-09-1995,6.650000095367432,6.675000190734863,247000,6.699999809265137,6.675000190734863,3.2163808345794678
07-09-1995,6.599999904632568,6.675000190734863,738000,6.675000190734863,6.625,3.192289352416992
08-09-1995,6.275000095367432,6.574999809265137,946000,6.599999904632568,6.275000095367432,3.023638963699341
11-09-1995,6.300000190734863,6.300000190734863,434000,6.525000095367432,6.425000190734863,3.0959174633026123
12-09-1995,6.550000190734863,6.550000190734863,817500,6.675000190734863,6.650000095367432,3.2043354511260986
13-09-1995,6.650000095367432,6.75,542500,6.775000095367432,6.675000190734863,3.2163808345794678
14-09-1995,6.650000095367432,6.675000190734863,154500,6.699999809265137,6.699999809265137,3.2284278869628906
15-09-1995,6.675000190734863,6.675000190734863,218500,6.699999809265137,6.699999809265137,3.2284278869628906
18-09-1995,6.650000095367432,6.675000190734863,422500,6.724999904632568,6.724999904632568,3.2404730319976807
19-09-1995,6.650000095367432,6.699999809265137,116500,6.699999809265137,6.675000190734863,3.2163808345794678
20-09-1995,6.525000095367432,6.650000095367432,124500,6.650000095367432,6.550000190734863,3.156148672103882
21-09-1995,6.550000190734863,6.599999904632568,157000,6.625,6.599999904632568,3.1802432537078857
22-09-1995,6.449999809265137,6.550000190734863,94500,6.550000190734863,6.449999809265137,3.107962131500244
25-09-1995,6.425000190734863,6.5,53000,6.5,6.425000190734863,3.0959174633026123
26-09-1995,6.525000095367432,6.550000190734863,266500,6.599999904632568,6.525000095367432,3.1441030502319336
