Date,Low,Open,Volume,High,Close,Adjusted Close
21-02-1973,5.03125,0.0,5600,5.03125,5.03125,0.8177125453948975
22-02-1973,5.03125,0.0,8400,5.03125,5.03125,0.8177125453948975
23-02-1973,5.03125,0.0,73200,5.03125,5.03125,0.8177125453948975
26-02-1973,5.0,0.0,16400,5.0,5.0,0.8126339912414551
27-02-1973,4.9375,0.0,26000,4.9375,4.9375,0.8024761080741882
28-02-1973,4.96875,0.0,26000,4.96875,4.96875,0.8075542449951172
01-03-1973,4.96875,0.0,36800,4.96875,4.96875,0.8075542449951172
02-03-1973,4.96875,0.0,10400,4.96875,4.96875,0.8075542449951172
05-03-1973,4.96875,0.0,26800,4.96875,4.96875,0.8075542449951172
06-03-1973,4.96875,0.0,9200,4.96875,4.96875,0.8075542449951172
07-03-1973,4.96875,0.0,23600,4.96875,4.96875,0.8075542449951172
08-03-1973,4.96875,0.0,8800,4.96875,4.96875,0.8075542449951172
09-03-1973,4.96875,0.0,23200,4.96875,4.96875,0.8075542449951172
12-03-1973,4.96875,0.0,26400,4.96875,4.96875,0.8075542449951172
13-03-1973,4.96875,0.0,41200,4.96875,4.96875,0.8075542449951172
14-03-1973,4.96875,0.0,14000,4.96875,4.96875,0.8075542449951172
15-03-1973,4.9375,0.0,20000,4.9375,4.9375,0.8024761080741882
16-03-1973,4.90625,0.0,9200,4.90625,4.90625,0.7973965406417847
19-03-1973,4.90625,0.0,7600,4.90625,4.90625,0.7973965406417847
20-03-1973,4.875,0.0,23200,4.875,4.875,0.7923177480697632
21-03-1973,4.84375,0.0,21200,4.84375,4.84375,0.7872387170791626
22-03-1973,4.84375,0.0,7200,4.84375,4.84375,0.7872387170791626
23-03-1973,4.84375,0.0,20000,4.84375,4.84375,0.7872387170791626
26-03-1973,4.875,0.0,4400,4.875,4.875,0.7923177480697632
27-03-1973,4.875,0.0,17200,4.875,4.875,0.7923177480697632
28-03-1973,4.90625,0.0,10800,4.90625,4.90625,0.7973965406417847
29-03-1973,4.90625,0.0,5200,4.90625,4.90625,0.7973965406417847
30-03-1973,4.90625,0.0,5600,4.90625,4.90625,0.7973965406417847
02-04-1973,4.90625,0.0,35600,4.90625,4.90625,0.7973965406417847
03-04-1973,4.90625,0.0,51200,4.90625,4.90625,0.7973965406417847
04-04-1973,4.90625,0.0,29200,4.90625,4.90625,0.7973965406417847
05-04-1973,4.90625,0.0,3200,4.90625,4.90625,0.7973965406417847
06-04-1973,4.90625,0.0,27600,4.90625,4.90625,0.7973965406417847
09-04-1973,4.96875,0.0,17600,4.96875,4.96875,0.8075542449951172
10-04-1973,4.96875,0.0,6800,4.96875,4.96875,0.8075542449951172
11-04-1973,4.96875,0.0,32000,4.96875,4.96875,0.8075542449951172
12-04-1973,4.96875,0.0,2000,4.96875,4.96875,0.8075542449951172
13-04-1973,4.96875,0.0,4400,4.96875,4.96875,0.8075542449951172
16-04-1973,4.96875,0.0,8800,4.96875,4.96875,0.8075542449951172
17-04-1973,4.9375,0.0,52000,4.9375,4.9375,0.8024761080741882
18-04-1973,4.90625,0.0,8400,4.90625,4.90625,0.7973965406417847
19-04-1973,4.90625,0.0,7600,4.90625,4.90625,0.7973965406417847
23-04-1973,4.9375,0.0,10800,4.9375,4.9375,0.8024761080741882
24-04-1973,4.90625,0.0,2800,4.90625,4.90625,0.7973965406417847
25-04-1973,4.90625,0.0,6000,4.90625,4.90625,0.7973965406417847
26-04-1973,4.90625,0.0,7200,4.90625,4.90625,0.7973965406417847
27-04-1973,4.90625,0.0,49600,4.90625,4.90625,0.7973965406417847
30-04-1973,4.90625,0.0,5600,4.90625,4.90625,0.7973965406417847
01-05-1973,4.875,0.0,13600,4.875,4.875,0.7923177480697632
02-05-1973,4.875,0.0,16800,4.875,4.875,0.7923177480697632
03-05-1973,4.875,0.0,6800,4.96875,4.875,0.7923177480697632
04-05-1973,4.875,0.0,16400,4.96875,4.875,0.7923177480697632
07-05-1973,4.875,0.0,7600,4.96875,4.875,0.7923177480697632
08-05-1973,4.875,0.0,3200,4.96875,4.875,0.7923177480697632
09-05-1973,4.875,0.0,69200,4.96875,4.875,0.7923177480697632
10-05-1973,4.875,0.0,8000,4.96875,4.875,0.7923177480697632
11-05-1973,4.90625,0.0,3600,5.0,4.90625,0.7973965406417847
14-05-1973,4.90625,0.0,6800,5.0,4.90625,0.7973965406417847
15-05-1973,4.90625,0.0,29200,5.0,4.90625,0.7973965406417847
16-05-1973,4.90625,0.0,7600,5.0,4.90625,0.7973965406417847
17-05-1973,4.90625,0.0,7600,5.0,4.90625,0.7973965406417847
18-05-1973,4.90625,0.0,14400,5.0,4.90625,0.7973965406417847
21-05-1973,4.90625,0.0,6800,5.0,4.90625,0.7973965406417847
22-05-1973,4.90625,0.0,7600,5.0,4.90625,0.7973965406417847
23-05-1973,4.90625,0.0,12800,5.0,4.90625,0.7973965406417847
24-05-1973,4.90625,0.0,17200,5.0,4.90625,0.7973965406417847
25-05-1973,4.90625,0.0,8800,5.0,4.90625,0.7973965406417847
29-05-1973,4.90625,0.0,2000,5.0,4.90625,0.7973965406417847
30-05-1973,4.90625,0.0,6400,5.0,4.90625,0.7973965406417847
31-05-1973,4.90625,0.0,7600,5.0,4.90625,0.7973965406417847
01-06-1973,4.90625,0.0,9200,5.0,4.90625,0.7973965406417847
04-06-1973,4.90625,0.0,21600,5.0,4.90625,0.7973965406417847
05-06-1973,4.875,0.0,32800,4.96875,4.875,0.7923177480697632
06-06-1973,4.875,0.0,20400,4.96875,4.875,0.7923177480697632
07-06-1973,4.875,0.0,5600,4.96875,4.875,0.7923177480697632
08-06-1973,4.875,0.0,6400,4.96875,4.875,0.7923177480697632
11-06-1973,4.875,0.0,6800,4.96875,4.875,0.7923177480697632
12-06-1973,4.84375,0.0,14000,4.9375,4.84375,0.7872387170791626
13-06-1973,4.84375,0.0,24000,4.9375,4.84375,0.7872387170791626
