Date,Low,Open,Volume,High,Close,Adjusted Close
28-01-1994,20.75,21.0,719200,22.5,21.625,4.15531063079834
31-01-1994,21.125,21.5,86900,21.625,21.375,4.107271671295166
01-02-1994,21.125,21.25,56900,21.375,21.25,4.083250999450684
02-02-1994,21.25,21.25,43600,21.5,21.25,4.083250999450684
03-02-1994,21.25,21.25,42900,21.5,21.5,4.131291389465332
04-02-1994,21.125,21.25,56500,21.5,21.125,4.05923318862915
07-02-1994,21.125,21.125,40900,21.5,21.375,4.107271671295166
08-02-1994,21.5,21.5,205400,22.25,22.0,4.2273640632629395
09-02-1994,22.125,22.125,76900,22.75,22.25,4.275405406951904
10-02-1994,22.25,22.25,42500,23.0,23.0,4.419517993927002
11-02-1994,22.875,22.875,49400,23.875,23.5,4.515596866607666
14-02-1994,23.25,23.25,97400,24.5,23.875,4.587657928466797
15-02-1994,23.125,23.75,62100,24.0,23.125,4.443541049957275
16-02-1994,23.125,23.125,26700,23.625,23.375,4.491577625274658
17-02-1994,23.625,23.625,8900,24.125,24.125,4.635689735412598
18-02-1994,24.0,24.125,27900,24.375,24.25,4.6597113609313965
22-02-1994,23.75,24.0,25000,24.125,23.75,4.563634395599365
23-02-1994,23.25,24.0,48100,24.0,23.375,4.491577625274658
24-02-1994,23.0,23.25,48500,23.875,23.25,4.46755838394165
25-02-1994,22.75,23.0,36000,23.0,22.875,4.395500659942627
28-02-1994,22.5,23.125,14500,23.125,22.625,4.347463607788086
01-03-1994,22.5,22.625,74900,23.25,23.0,4.419517993927002
02-03-1994,23.0,23.25,21700,23.75,23.5,4.515596866607666
03-03-1994,23.0,23.5,8600,23.5,23.0,4.419517993927002
04-03-1994,22.75,23.25,5000,23.25,23.0,4.419517993927002
07-03-1994,22.75,22.75,13200,23.125,22.875,4.395500659942627
08-03-1994,22.25,22.75,9800,22.75,22.625,4.347463607788086
09-03-1994,22.5,22.625,38700,22.625,22.5,4.323444366455078
10-03-1994,22.25,22.375,28800,22.5,22.5,4.323444366455078
11-03-1994,22.0,22.125,5800,22.125,22.0,4.2273640632629395
14-03-1994,22.0,22.0,59900,23.75,23.25,4.46755838394165
15-03-1994,22.875,23.5,4400,23.5,22.875,4.395500659942627
16-03-1994,23.0,23.0,10800,23.5,23.375,4.491577625274658
17-03-1994,23.25,23.25,18900,23.5,23.5,4.515596866607666
18-03-1994,23.25,23.625,7400,23.625,23.25,4.46755838394165
21-03-1994,23.125,23.25,4100,23.25,23.25,4.46755838394165
22-03-1994,23.125,23.125,33600,23.625,23.25,4.46755838394165
23-03-1994,23.25,23.375,1900,23.5,23.375,4.491577625274658
24-03-1994,23.5,23.5,18400,24.0,24.0,4.611672401428223
25-03-1994,23.75,23.75,5300,24.0,23.75,4.563634395599365
28-03-1994,23.25,23.625,11500,23.625,23.5,4.515596866607666
29-03-1994,23.25,23.875,4200,23.875,23.25,4.46755838394165
30-03-1994,23.0,23.125,20600,23.125,23.125,4.443541049957275
31-03-1994,23.0,23.0,14200,23.125,23.125,4.443541049957275
04-04-1994,22.75,23.0,29900,23.125,22.75,4.371480464935303
05-04-1994,22.75,23.0,1500,23.125,23.125,4.443541049957275
06-04-1994,23.0,23.125,5100,23.125,23.125,4.443541049957275
07-04-1994,23.25,23.25,3800,23.5,23.375,4.491577625274658
08-04-1994,23.125,23.5,9900,23.5,23.375,4.491577625274658
11-04-1994,23.375,23.375,900,23.5,23.5,4.515596866607666
12-04-1994,23.25,23.25,1600,23.25,23.25,4.46755838394165
