Date,Low,Open,Volume,High,Close,Adjusted Close
17-03-1980,1.53125,0.0,25600,1.578125,1.53125,0.6312591433525085
18-03-1980,1.53125,0.0,81600,1.578125,1.53125,0.6312591433525085
19-03-1980,1.546875,0.0,40000,1.59375,1.546875,0.6377003788948059
20-03-1980,1.53125,0.0,11200,1.578125,1.53125,0.6312591433525085
21-03-1980,1.515625,0.0,19200,1.5625,1.515625,0.6248176693916321
24-03-1980,1.484375,0.0,112000,1.53125,1.484375,0.6119349598884583
25-03-1980,1.46875,0.0,49600,1.515625,1.46875,0.6054935455322266
26-03-1980,1.484375,0.0,17600,1.53125,1.484375,0.6119349598884583
27-03-1980,1.46875,0.0,78400,1.515625,1.46875,0.6054935455322266
28-03-1980,1.46875,0.0,16000,1.515625,1.46875,0.6054935455322266
31-03-1980,1.40625,0.0,128000,1.453125,1.40625,0.5797280073165894
01-04-1980,1.390625,0.0,54400,1.4375,1.390625,0.5732867121696472
02-04-1980,1.40625,0.0,20800,1.453125,1.40625,0.5797280073165894
03-04-1980,1.390625,0.0,8000,1.4375,1.390625,0.5732867121696472
07-04-1980,1.375,0.0,43200,1.421875,1.375,0.566844642162323
08-04-1980,1.375,0.0,62400,1.421875,1.375,0.566844642162323
09-04-1980,1.390625,0.0,33600,1.4375,1.390625,0.5732867121696472
10-04-1980,1.421875,0.0,24000,1.46875,1.421875,0.5861692428588867
11-04-1980,1.4375,0.0,33600,1.484375,1.4375,0.5926107168197632
14-04-1980,1.421875,0.0,32000,1.46875,1.421875,0.5861692428588867
15-04-1980,1.421875,0.0,33600,1.46875,1.421875,0.5861692428588867
16-04-1980,1.421875,0.0,76800,1.46875,1.421875,0.5861692428588867
17-04-1980,1.421875,0.0,8000,1.46875,1.421875,0.5861692428588867
18-04-1980,1.46875,0.0,52800,1.515625,1.46875,0.6054935455322266
21-04-1980,1.421875,0.0,70400,1.46875,1.421875,0.5861692428588867
22-04-1980,1.46875,0.0,83200,1.515625,1.46875,0.6054935455322266
23-04-1980,1.46875,0.0,19200,1.515625,1.46875,0.6054935455322266
24-04-1980,1.46875,0.0,3200,1.515625,1.46875,0.6054935455322266
25-04-1980,1.453125,0.0,17600,1.5,1.453125,0.5990522503852844
28-04-1980,1.46875,0.0,56000,1.515625,1.46875,0.6054935455322266
29-04-1980,1.515625,0.0,64000,1.5625,1.515625,0.6248176693916321
30-04-1980,1.515625,0.0,4800,1.5625,1.515625,0.6248176693916321
01-05-1980,1.515625,0.0,108800,1.5625,1.515625,0.6248176693916321
02-05-1980,1.515625,0.0,17600,1.5625,1.515625,0.6248176693916321
05-05-1980,1.515625,0.0,48000,1.5625,1.515625,0.6248176693916321
06-05-1980,1.515625,0.0,14400,1.5625,1.515625,0.6248176693916321
07-05-1980,1.5,0.0,32000,1.546875,1.5,0.6183764338493347
08-05-1980,1.484375,0.0,102400,1.53125,1.484375,0.6119349598884583
