Date,Low,Open,Volume,High,Close,Adjusted Close
29-10-1993,19.25,19.25,1381000,19.375,19.25,4.056713104248047
01-11-1993,19.25,19.25,136800,19.375,19.375,4.083059310913086
02-11-1993,18.625,19.25,182600,19.375,18.75,3.951345443725586
03-11-1993,18.375,18.5,146300,19.0,18.875,3.977689504623413
04-11-1993,18.75,18.75,48300,18.875,18.75,3.951345443725586
05-11-1993,18.75,18.75,13900,18.875,18.75,3.951345443725586
08-11-1993,18.75,18.75,22800,18.875,18.875,3.977689504623413
09-11-1993,18.75,18.875,10600,19.0,18.75,3.951345443725586
10-11-1993,18.875,18.875,143900,19.0,18.875,3.977689504623413
11-11-1993,18.875,18.875,29800,18.875,18.875,3.977689504623413
12-11-1993,18.875,18.875,10500,19.0,19.0,4.004033088684082
15-11-1993,18.375,18.75,181600,18.75,18.5,3.898663282394409
16-11-1993,18.375,18.375,33400,18.5,18.375,3.8723201751708984
17-11-1993,18.25,18.5,73900,18.5,18.25,3.845978021621704
18-11-1993,17.625,18.25,75900,18.25,17.625,3.7142655849456787
19-11-1993,16.375,17.0,126700,17.125,16.875,3.556213617324829
22-11-1993,16.5,16.625,32100,16.875,16.875,3.556213617324829
23-11-1993,16.75,16.75,20300,17.125,17.125,3.6088967323303223
24-11-1993,16.875,16.875,9800,17.125,16.875,3.556213617324829
26-11-1993,17.0,17.0,2500,17.0,17.0,3.5825538635253906
29-11-1993,16.875,17.125,48100,17.125,17.125,3.6088967323303223
30-11-1993,16.875,17.125,38500,17.25,17.125,3.6088967323303223
01-12-1993,17.0,17.125,12700,17.125,17.0,3.5825538635253906
02-12-1993,16.875,17.0,14800,17.125,17.125,3.6088967323303223
03-12-1993,17.125,17.125,19600,17.625,17.5,3.6879234313964844
06-12-1993,17.25,17.5,6000,17.5,17.5,3.6879234313964844
07-12-1993,17.0,17.5,25100,17.5,17.25,3.6352379322052
08-12-1993,16.875,17.25,8500,17.25,17.125,3.6088967323303223
09-12-1993,16.625,17.25,10600,17.25,16.875,3.556213617324829
10-12-1993,16.75,16.875,9500,16.875,16.875,3.556213617324829
13-12-1993,16.375,16.625,69000,16.625,16.5,3.4771835803985596
14-12-1993,16.5,16.625,18000,17.0,16.75,3.529869556427002
15-12-1993,16.5,16.625,36100,16.875,16.625,3.5035274028778076
16-12-1993,16.5,16.625,7900,16.625,16.5,3.4771835803985596
17-12-1993,16.375,16.5,9600,16.625,16.5,3.4771835803985596
20-12-1993,15.75,16.5,58500,16.5,16.0,3.371816396713257
21-12-1993,15.75,15.75,54400,16.25,16.125,3.398158073425293
22-12-1993,16.25,16.25,21800,16.5,16.5,3.4771835803985596
23-12-1993,16.5,16.75,12200,16.75,16.625,3.5035274028778076
27-12-1993,16.75,16.75,35500,16.875,16.75,3.529869556427002
28-12-1993,16.75,16.875,49500,16.875,16.75,3.529869556427002
