Date,Low,Open,Volume,High,Close,Adjusted Close
17-02-1994,0.4375,0.4375,48000,0.4375,0.4375,0.37877005338668823
18-02-1994,1.3125,1.421875,39870400,1.4375,1.421875,1.2310031652450562
22-02-1994,1.359375,1.40625,9164800,1.4375,1.421875,1.2310031652450562
23-02-1994,1.359375,1.390625,5124800,1.421875,1.375,1.1904199123382568
24-02-1994,1.3125,1.375,2246400,1.375,1.3125,1.13631010055542
25-02-1994,1.3125,1.359375,2414400,1.375,1.359375,1.176892638206482
28-02-1994,1.34375,1.34375,1006400,1.375,1.34375,1.1633646488189697
01-03-1994,1.34375,1.375,952000,1.375,1.359375,1.176892638206482
02-03-1994,1.3125,1.359375,2105600,1.359375,1.34375,1.1633646488189697
03-03-1994,1.328125,1.359375,680000,1.359375,1.359375,1.176892638206482
04-03-1994,1.328125,1.328125,1984000,1.484375,1.484375,1.285112738609314
07-03-1994,1.46875,1.484375,1929600,1.53125,1.515625,1.312167763710022
08-03-1994,1.46875,1.515625,1313600,1.515625,1.5,1.2986401319503784
09-03-1994,1.46875,1.46875,2572800,1.515625,1.515625,1.312167763710022
10-03-1994,1.453125,1.46875,2112000,1.515625,1.453125,1.2580578327178955
11-03-1994,1.4375,1.453125,260800,1.484375,1.484375,1.285112738609314
14-03-1994,1.4375,1.484375,81600,1.484375,1.4765629768371582,1.2783491611480713
15-03-1994,1.390625,1.484375,1931200,1.484375,1.390625,1.20394766330719
16-03-1994,1.390625,1.390625,211200,1.4375,1.421875,1.2310031652450562
17-03-1994,1.40625,1.4375,528000,1.46875,1.46875,1.2715851068496704
18-03-1994,1.453125,1.46875,1096000,1.515625,1.484375,1.285112738609314
21-03-1994,1.484375,1.484375,920000,1.546875,1.546875,1.3392224311828613
22-03-1994,1.53125,1.53125,1142400,1.578125,1.5625,1.3527500629425049
23-03-1994,1.53125,1.53125,635200,1.578125,1.578125,1.3662776947021484
24-03-1994,1.5,1.578125,2140800,1.578125,1.546875,1.3392224311828613
25-03-1994,1.484375,1.484375,11200,1.484375,1.484375,1.285112738609314
28-03-1994,1.453125,1.484375,1056000,1.53125,1.453125,1.2580578327178955
29-03-1994,1.4375,1.4375,182400,1.46875,1.4375,1.2445299625396729
30-03-1994,1.421875,1.4375,387200,1.46875,1.46875,1.2715851068496704
31-03-1994,1.359375,1.40625,1528000,1.4375,1.4375,1.2445299625396729
04-04-1994,1.375,1.421875,2270400,1.4375,1.375,1.1904199123382568
