Date,Low,Open,Volume,High,Close,Adjusted Close
06-11-1986,6.875,7.0625,17902800,7.15625,7.0,3.249514579772949
07-11-1986,6.84375,7.0,6288000,7.0,6.96875,3.2350070476531982
10-11-1986,6.75,6.90625,3060000,6.90625,6.78125,3.147968292236328
11-11-1986,6.78125,6.78125,1130000,6.875,6.875,3.1914875507354736
12-11-1986,6.8125,6.875,2082800,6.9375,6.875,3.1914875507354736
13-11-1986,6.8125,6.84375,891200,6.84375,6.8125,3.1624720096588135
14-11-1986,6.78125,6.8125,952000,6.875,6.875,3.1914875507354736
17-11-1986,6.75,6.8125,1055200,6.84375,6.75,3.133460283279419
18-11-1986,6.59375,6.75,2426400,6.78125,6.625,3.0754332542419434
19-11-1986,6.5,6.625,2026000,6.625,6.53125,3.031913995742798
20-11-1986,6.53125,6.59375,3253600,6.65625,6.625,3.0754332542419434
21-11-1986,6.65625,6.71875,639600,6.71875,6.71875,3.118953227996826
24-11-1986,6.65625,6.6875,660000,6.71875,6.65625,3.089939832687378
25-11-1986,6.5625,6.65625,1080000,6.71875,6.6875,3.104445457458496
26-11-1986,6.5625,6.6875,963200,6.75,6.6875,3.104445457458496
28-11-1986,6.65625,6.6875,521600,6.71875,6.71875,3.118953227996826
01-12-1986,6.6875,6.6875,662000,6.75,6.75,3.133460283279419
02-12-1986,6.75,6.75,1161200,6.875,6.875,3.1914875507354736
03-12-1986,6.875,6.875,1210400,7.0625,6.96875,3.2350070476531982
04-12-1986,6.875,6.96875,1446400,6.96875,6.90625,3.2059946060180664
05-12-1986,6.84375,6.875,737600,6.90625,6.84375,3.1769816875457764
08-12-1986,6.75,6.8125,703600,6.84375,6.75,3.133460283279419
09-12-1986,6.75,6.75,444800,6.78125,6.75,3.133460283279419
10-12-1986,6.71875,6.75,902400,6.78125,6.71875,3.118953227996826
11-12-1986,6.59375,6.75,550400,6.78125,6.6875,3.104445457458496
12-12-1986,6.65625,6.6875,356800,6.75,6.75,3.133460283279419
15-12-1986,6.65625,6.71875,521200,6.75,6.71875,3.118953227996826
16-12-1986,6.625,6.6875,835600,6.71875,6.65625,3.089939832687378
17-12-1986,6.625,6.65625,803600,6.65625,6.625,3.0754332542419434
18-12-1986,6.53125,6.625,1108000,6.65625,6.59375,3.060926914215088
19-12-1986,6.5,6.5,556000,6.625,6.625,3.0754332542419434
22-12-1986,6.5,6.5625,1456000,6.5625,6.5625,3.0464208126068115
23-12-1986,6.5,6.53125,574000,6.5625,6.5625,3.0464208126068115
24-12-1986,6.5,6.6875,322400,6.6875,6.53125,3.031913995742798
26-12-1986,6.5,6.5,486000,6.5625,6.5625,3.0464208126068115
29-12-1986,6.46875,6.53125,693200,6.53125,6.53125,3.031913995742798
30-12-1986,6.4375,6.53125,910000,6.5625,6.5625,3.0464208126068115
31-12-1986,6.5,6.5,841600,6.71875,6.71875,3.118953227996826
02-01-1987,6.625,6.6875,264800,6.8125,6.8125,3.1624720096588135
05-01-1987,6.8125,6.8125,668400,6.96875,6.9375,3.220500946044922
06-01-1987,6.84375,6.875,554400,6.96875,6.96875,3.2350070476531982
07-01-1987,6.9375,6.9375,748400,7.15625,7.15625,3.322047233581543
08-01-1987,7.09375,7.125,596800,7.5625,7.5625,3.510636329650879
09-01-1987,7.40625,7.53125,759600,7.75,7.625,3.5396509170532227
12-01-1987,7.5625,7.5625,1196800,7.78125,7.625,3.5396509170532227
13-01-1987,7.34375,7.5625,504800,7.59375,7.40625,3.4381020069122314
14-01-1987,7.4375,7.46875,611600,7.59375,7.5,3.481621503829956
15-01-1987,7.46875,7.46875,463200,7.59375,7.5,3.481621503829956
16-01-1987,7.4375,7.53125,412800,7.65625,7.625,3.5396509170532227
19-01-1987,7.5,7.5625,161600,7.625,7.5625,3.510636329650879
20-01-1987,7.53125,7.59375,642000,7.625,7.59375,3.536834955215454
21-01-1987,7.53125,7.5625,505200,7.625,7.53125,3.507723569869995
22-01-1987,7.375,7.53125,618000,7.53125,7.4375,3.4640603065490723
23-01-1987,7.4375,7.46875,573200,7.625,7.625,3.551391124725342
26-01-1987,7.375,7.5,594800,7.5,7.375,3.4349498748779297
27-01-1987,7.28125,7.3125,488400,7.5,7.46875,3.4786152839660645
28-01-1987,7.4375,7.4375,462000,7.53125,7.4375,3.4640603065490723
29-01-1987,7.375,7.40625,574000,7.5,7.375,3.4349498748779297
30-01-1987,7.34375,7.375,265600,7.46875,7.375,3.4349498748779297
02-02-1987,7.34375,7.5,900000,7.53125,7.53125,3.507723569869995
03-02-1987,7.5,7.5625,1131600,7.625,7.53125,3.507723569869995
04-02-1987,7.40625,7.5,498800,7.5,7.46875,3.4786152839660645
05-02-1987,7.3125,7.34375,1638800,7.53125,7.40625,3.4495043754577637
06-02-1987,7.40625,7.4375,673600,7.53125,7.53125,3.507723569869995
09-02-1987,7.40625,7.46875,487600,7.5625,7.5,3.4931700229644775
10-02-1987,7.4375,7.46875,300800,7.5,7.46875,3.4786152839660645
11-02-1987,7.46875,7.46875,228000,7.53125,7.5,3.4931700229644775
12-02-1987,7.5,7.53125,324800,7.59375,7.53125,3.507723569869995
13-02-1987,7.53125,7.53125,402800,7.75,7.75,3.6096091270446777
17-02-1987,7.5,7.75,933200,7.8125,7.5,3.4931700229644775
18-02-1987,7.34375,7.5625,702400,7.5625,7.375,3.4349498748779297
19-02-1987,7.09375,7.3125,1086400,7.84375,7.75,3.6096091270446777
20-02-1987,7.1875,7.75,3002000,7.75,7.25,3.376730442047119
23-02-1987,7.0,7.15625,1918000,7.15625,7.0,3.2602927684783936
24-02-1987,6.9375,7.03125,962400,7.03125,6.96875,3.2457358837127686
25-02-1987,6.9375,6.96875,559200,7.0,7.0,3.2602927684783936
26-02-1987,6.90625,7.03125,506800,7.03125,6.9375,3.231182336807251
27-02-1987,6.8125,6.96875,1080400,7.0,6.90625,3.216628313064575
